,year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,year,state,county,loan_average_orig,income_average_orig,count_orig,value_orig,fips
0,2000,16,079,53.82,43.78,566.0,30462.0,16079,2000,16,079,53.35,48.97,205.0,10937.0,16079
0,2001,16,079,58.82,49.37,626.0,36824.0,16079,2001,16,079,56.49,50.08,278.0,15704.0,16079
0,2002,16,079,59.21,53.22,677.0,40087.0,16079,2002,16,079,58.46,55.55,328.0,19174.0,16079
0,2003,16,079,63.88,53.88,1041.0,66496.0,16079,2003,16,079,61.03,56.23,432.0,26365.0,16079
0,2004,16,079,68.33,61.67,932.0,63684.0,16079,2004,16,079,67.16,68.73,409.0,27468.0,16079
0,2005,16,079,87.29,72.61,1295.0,113045.0,16079,2005,16,079,89.7,79.21,588.0,52745.0,16079
0,2006,16,079,102.97,77.06,1206.0,124183.0,16079,2006,16,079,106.71,79.26,540.0,57623.0,16079
0,2007,16,079,139.31,119.04,1190.0,165776.0,16079,2007,16,079,137.66,131.84,532.0,73234.0,16079
0,2008,16,079,127.92,79.03,2288.0,292692.0,16079,2008,16,079,130.71,81.62,968.0,126524.0,16079
0,2009,16,079,119.27,78.36,546.0,65122.0,16079,2009,16,079,115.65,76.82,235.0,27177.0,16079
0,2010,16,079,120.88,79.33,387.0,46780.0,16079,2010,16,079,108.67,76.2,160.0,17387.0,16079
0,2011,16,079,104.2,87.11,322.0,33551.0,16079,2011,16,079,98.6,80.08,131.0,12917.0,16079
0,2012,16,079,101.4,83.75,364.0,36911.0,16079,2012,16,079,98.42,81.85,156.0,15353.0,16079
0,2013,16,079,107.2,85.32,433.0,46418.0,16079,2013,16,079,104.14,80.59,216.0,22494.0,16079
0,2014,16,079,105.84,89.12,249.0,26355.0,16079,2014,16,079,103.71,82.92,117.0,12134.0,16079
0,2000,33,017,89.63,60.64,4878.0,437207.0,33017,2000,33,017,104.85,68.1,2463.0,258243.0,33017
0,2001,33,017,109.57,71.21,8130.0,890771.0,33017,2001,33,017,118.57,76.35,4742.0,562254.0,33017
0,2002,33,017,125.74,74.65,10515.0,1322165.0,33017,2002,33,017,132.33,78.27,6061.0,802072.0,33017
0,2003,33,017,138.64,76.19,15025.0,2083111.0,33017,2003,33,017,139.65,79.31,8543.0,1193056.0,33017
0,2004,33,017,152.43,75.74,11889.0,1812263.0,33017,2004,33,017,156.19,77.94,6025.0,941051.0,33017
0,2005,33,017,158.38,81.98,12502.0,1980023.0,33017,2005,33,017,160.43,82.36,5960.0,956192.0,33017
0,2006,33,017,156.9,86.04,10112.0,1586585.0,33017,2006,33,017,154.01,87.91,4833.0,744319.0,33017
0,2007,33,017,176.97,88.95,7820.0,1383922.0,33017,2007,33,017,174.64,91.5,3226.0,563384.0,33017
0,2008,33,017,180.78,87.65,18272.0,3303124.0,33017,2008,33,017,178.1,91.06,8492.0,1512424.0,33017
0,2009,33,017,178.1,93.0,5379.0,958016.0,33017,2009,33,017,181.54,96.45,2670.0,484711.0,33017
0,2010,33,017,180.14,99.47,4662.0,839825.0,33017,2010,33,017,179.65,103.88,2489.0,447161.0,33017
0,2011,33,017,177.32,103.29,4024.0,713546.0,33017,2011,33,017,176.41,108.62,2124.0,374698.0,33017
0,2012,33,017,179.45,103.69,5088.0,913049.0,33017,2012,33,017,179.91,105.23,2899.0,521556.0,33017
0,2013,33,017,175.39,100.51,4615.0,809412.0,33017,2013,33,017,176.76,104.83,2613.0,461873.0,33017
0,2014,33,017,176.25,98.13,2773.0,488734.0,33017,2014,33,017,187.43,107.57,1520.0,284894.0,33017
0,2000,16,073,75.23,44.69,398.0,29942.0,16073,2000,16,073,75.78,46.5,158.0,11974.0,16073
0,2001,16,073,79.58,52.42,473.0,37642.0,16073,2001,16,073,81.14,54.95,216.0,17527.0,16073
0,2002,16,073,85.63,51.43,501.0,42903.0,16073,2002,16,073,91.72,53.91,232.0,21280.0,16073
