asian_count_app,asian_count_orig,asian_income_average_app,asian_income_average_orig,asian_loan_average_app,asian_loan_average_orig,asian_value_app,asian_value_orig,black_count_app,black_count_orig,black_income_average_app,black_income_average_orig,black_loan_average_app,black_loan_average_orig,black_value_app,black_value_orig,count_app,count_app_delta,count_orig,county,fips,hawaiian_count_app,hawaiian_count_orig,hawaiian_income_average_app,hawaiian_income_average_orig,hawaiian_loan_average_app,hawaiian_loan_average_orig,hawaiian_value_app,hawaiian_value_orig,income_average_app,income_average_app_delta,income_average_orig,income_mult_delta,income_multiple,loan_average_app,loan_average_orig,loan_avg_app_delta,native_count_app,native_count_orig,native_income_average_app,native_income_average_orig,native_loan_average_app,native_loan_average_orig,native_value_app,native_value_orig,state,value_app,value_app_delta,value_orig,white_count_app,white_count_orig,white_income_average_app,white_income_average_orig,white_loan_average_app,white_loan_average_orig,white_value_app,white_value_orig,year
,,,,,,,,,,,,,,,,29.0,,9.0,009,32009,1.0,1.0,31.0,31.0,39.0,39.0,39.0,39.0,48.69,,36.33,,1.528804682686383,59.55,38.0,,,,,,,,,,32,1727.0,,342.0,20.0,5.0,48.3,36.4,67.75,38.0,1355.0,190.0,2000.0
1.0,1.0,48.0,48.0,199.0,199.0,199.0,199.0,,,,,,,,,41.0,41.37931034482758,14.0,009,32009,2.0,1.0,60.5,73.0,67.0,64.0,134.0,64.0,59.27,21.729307866091617,65.29,-3.200178154107547,1.4798802092120802,70.17,73.21,17.83375314861462,1.0,1.0,76.0,76.0,75.0,75.0,75.0,75.0,32,2877.0,0.6658946149392009,1025.0,18.0,7.0,57.22,68.0,52.83,60.86,951.0,426.0,2001.0
,,,,,,,,,,,,,,,,36.0,-12.195121951219512,9.0,009,32009,,,,,,,,,73.19,23.485743209043353,66.67,39.965465167518246,2.07132121874573,121.28,42.0,72.83739489810459,,,,,,,,,32,4366.0,0.5175530066041014,378.0,19.0,5.0,85.74,67.8,141.74,39.8,2693.0,199.0,2002.0
1.0,1.0,69.0,69.0,172.0,172.0,172.0,172.0,,,,,,,,,29.0,-19.444444444444443,5.0,009,32009,1.0,,24.0,,99.0,,99.0,,58.41,-20.194015575898348,51.8,-25.611149281825895,1.5408320493066257,72.0,75.8,-40.63324538258575,,,,,,,,,32,2088.0,-0.521759047182776,379.0,21.0,4.0,61.9,47.5,62.62,51.75,1315.0,207.0,2003.0
,,,,,,,,3.0,,69.67,,143.67,,431.0,,22.0,-24.13793103448276,5.0,009,32009,,,,,,,,,67.77,16.024653312788907,103.4,36.14204293935368,2.0977202301903497,113.73,86.6,57.958333333333336,1.0,,37.0,,78.0,,78.0,,32,2502.0,0.19827586206896552,433.0,13.0,5.0,73.62,103.4,108.15,86.6,1406.0,433.0,2004.0
,,,,,,,,2.0,,96.0,,217.5,,435.0,,34.0,54.54545454545454,3.0,009,32009,2.0,,36.0,,140.0,,280.0,,96.15,41.876936697653846,62.0,1.9294897884018614,2.1381955278211127,164.47,77.33,44.61443770333244,2.0,,43.5,,50.5,,101.0,,32,5592.0,1.2350119904076737,232.0,18.0,3.0,82.22,62.0,148.61,77.33,2675.0,232.0,2005.0
,,,,,,,,,,,,,,,,24.0,-29.411764705882348,11.0,009,32009,1.0,1.0,216.0,216.0,214.0,214.0,214.0,214.0,72.38,-24.72178887155487,106.45,-18.762668595464838,1.7370129870129871,100.58,112.73,-38.84599015017937,1.0,1.0,129.0,129.0,113.0,113.0,113.0,113.0,32,2414.0,-0.5683118741058655,1240.0,13.0,5.0,65.46,104.6,73.54,74.8,956.0,374.0,2006.0
,,,,,,,,,,,,,,,,11.0,-54.16666666666667,3.0,009,32009,,,,,,,,,86.18,19.066040342636104,148.0,4.912777646438737,1.822348572754699,125.64,154.33,24.915490157088893,,,,,,,,,32,1382.0,-0.4275062137531068,463.0,9.0,3.0,90.11,148.0,113.44,154.33,1021.0,463.0,2007.0
,,,,,,,,,,,,,,,,52.0,372.72727272727275,4.0,009,32009,,,,,,,,,89.46,3.805987468090022,27.0,-13.358071240417836,1.5789179521573888,113.0,24.0,-10.06049028971665,4.0,,53.0,,80.0,,320.0,,32,5876.0,3.2518089725036177,96.0,44.0,4.0,90.36,27.0,114.0,24.0,5016.0,96.0,2008.0
,,,,,,,,,,,,,,,,6.0,-88.46153846153845,1.0,009,32009,,,,,,,,,67.0,-25.106192711826512,64.0,20.323759080702676,1.8998134328358207,101.83,42.0,-9.884955752212388,,,,,,,,,32,611.0,-0.8960176991150443,42.0,5.0,1.0,67.6,64.0,95.0,42.0,475.0,42.0,2009.0
