year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,year.1,state.1,county.1,loan_average_orig,income_average_orig,count_orig,value_orig,fips.1,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,51,115,93.84,68.11,411,38568,51115,2000,51,115,110.2,87.55,217,23913,51115,1.72221406548,,,,,
2001,51,115,109.45,76.42,588,64354,51115,2001,51,115,118.06,85.72,341,40259,51115,1.7902708715,16.6346973572,12.2008515636,43.0656934307,0.668585355735,3.95170422663
2002,51,115,133.35,89.94,656,87480,51115,2002,51,115,136.13,93.57,387,52684,51115,1.85331887925,21.8364550023,17.6917037425,11.5646258503,0.359356061783,3.52170214893
2003,51,115,135.17,84.61,885,119623,51115,2003,51,115,145.49,93.12,564,82058,51115,1.99695662451,1.36482939633,-5.92617300423,34.9085365854,0.367432556013,7.75029849788
2004,51,115,139.36,81.22,554,77207,51115,2004,51,115,148.45,89.33,333,49433,51115,2.14479192317,3.09980025154,-4.006618603,-37.4011299435,-0.354580640847,7.40303003303
2005,51,115,162.76,88.96,677,110191,51115,2005,51,115,167.83,96.92,366,61424,51115,2.28698291367,16.7910447761,9.52967249446,22.202166065,0.427215148885,6.62959371309
2006,51,115,184.34,95.84,680,125349,51115,2006,51,115,194.42,107.34,338,65715,51115,2.40426752922,13.2587859425,7.73381294964,0.443131462334,0.137561143832,5.12835556599
2007,51,115,208.52,103.14,681,142000,51115,2007,51,115,238.24,127.79,306,72902,51115,2.52714756641,13.1170662906,7.61686143573,0.147058823529,0.132837118764,5.11091364443
2008,51,115,205.99,100.85,2012,414448,51115,2008,51,115,203.22,105.98,984,199968,51115,2.55317302925,-1.21331287167,-2.22028311034,195.447870778,1.91864788732,1.02983550239
2009,51,115,236.58,111.04,499,118052,51115,2009,51,115,230.11,115.24,278,63971,51115,2.66322946686,14.8502354483,10.1041150223,-75.1988071571,-0.715158475852,4.31057497265
2010,51,115,225.13,116.61,381,85775,51115,2010,51,115,207.19,115.78,211,43718,51115,2.41327930709,-4.83980049032,5.01621037464,-23.6472945892,-0.273413411039,-9.38522808031
2011,51,115,245.09,132.75,327,80143,51115,2011,51,115,220.42,135.25,184,40558,51115,2.30781544256,8.86598853995,13.8410084898,-14.1732283465,-0.0656601573885,-4.37014746784
2012,51,115,235.8,123.95,435,102571,51115,2012,51,115,230.62,128.98,237,54657,51115,2.37797498992,-3.79044432657,-6.62900188324,33.0275229358,0.279849768539,3.04008483782
2013,51,115,215.99,117.93,444,95900,51115,2013,51,115,186.05,115.89,244,45397,51115,2.28938777241,-8.40118744699,-4.8567970956,2.06896551724,-0.0650378762028,-3.72532166586
2014,51,115,217.0,120.46,236,51212,51115,2014,51,115,226.37,121.18,143,32371,51115,2.25178482484,0.4676142414,2.1453404562,-46.8468468468,-0.46598540146,-1.64248922889
