year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,income_multiple,loan_avg_app_delta,income_average_app_delta,count_app_delta,value_app_delta,income_mult_delta
2000,55,115,69.63,49.2,1440,100270,55115,1.76905487805,,,,,
2001,55,115,85.32,60.08,3029,258441,55115,1.77513315579,22.5333907798,22.1138211382,110.347222222,1.57745088262,0.343588987482
2002,55,115,93.08,62.43,3416,317946,55115,1.86368732981,9.09517112049,3.91145139814,12.7764938924,0.230245974903,4.98859331922
2003,55,115,99.73,63.31,4186,417473,55115,1.96908071395,7.14439192093,1.40957872818,22.5409836066,0.313031143653,5.65510010462
2004,55,115,102.5,62.31,3041,311703,55115,2.05625100305,2.77749924797,-1.57952930027,-27.3530817009,-0.253357702175,4.4269535771
2005,55,115,101.23,60.05,3453,349539,55115,2.10720233139,-1.23902439024,-3.62702615952,13.5481749425,0.121384779742,2.47787494161
2006,55,115,106.82,63.77,3222,344166,55115,2.09385290889,5.52207843525,6.1948376353,-6.68983492615,-0.0153716752637,-0.633514034239
2007,55,115,112.44,67.93,2928,329225,55115,2.06904166053,5.26118704362,6.52344362553,-9.12476722533,-0.0434121906289,-1.18495660574
2008,55,115,116.58,69.96,8080,941960,55115,2.08297598628,3.68196371398,2.98837038127,175.956284153,1.86114359481,0.673467625653
2009,55,115,121.63,79.26,2226,270739,55115,1.91821221297,4.33178932922,13.2933104631,-72.4504950495,-0.712579090407,-7.91001789715
2010,55,115,125.68,81.08,2077,261038,55115,1.93759250123,3.3297706158,2.29624022205,-6.69362084456,-0.0358315573301,1.01033077218
2011,55,115,113.94,76.94,1797,204745,55115,1.85111775409,-9.34118395926,-5.10606808091,-13.4809821858,-0.215650594933,-4.46299968049
2012,55,115,2.91,80.51,2055,5972,55115,0.0451807228916,-97.4460242233,4.63997920457,14.3572621035,-0.97083201055,-97.5592734286
2013,55,115,114.85,79.86,1802,206968,55115,1.79767718507,3846.73539519,-0.807353123836,-12.3114355231,33.6563965171,3878.8588363
2014,55,115,107.43,80.69,1133,121713,55115,1.66423968274,-6.46060078363,1.03931880791,-37.1254162042,-0.41192358239,-7.42277331244
