year,state,county,fips,loan_average_app,income_average_app,count_app,value_app,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app
2000,19,007,19007,46.87,42.4,326,15278,18.0,21.0,1.0,18.0,,,,,,,,,47.84,43.65,201.0,9616.0,59.0,12.0,1.0,59.0
2000,18,143,18143,55.13,40.61,1844,101664,60.75,29.33,12.0,729.0,58.4,33.8,5.0,292.0,130.0,62.5,2.0,260.0,54.99,41.89,1273.0,69996.0,31.33,20.0,3.0,94.0
2000,47,009,47009,70.44,48.62,6342,446743,47.95,32.71,21.0,1007.0,103.79,47.87,100.0,10379.0,117.4,86.3,10.0,1174.0,69.97,49.62,4631.0,324023.0,56.81,39.61,31.0,1761.0
2000,48,329,48329,63.51,61.94,3286,208703,38.17,44.5,6.0,229.0,45.85,35.09,117.0,5364.0,88.4,66.75,20.0,1768.0,76.22,71.37,1805.0,137584.0,39.75,39.18,589.0,23410.0
2000,13,013,13013,81.2,54.66,2832,229948,74.53,48.13,15.0,1118.0,71.62,43.58,139.0,9955.0,95.03,43.94,35.0,3326.0,88.04,57.71,1781.0,156791.0,92.88,59.88,25.0,2322.0
2000,27,167,27167,47.96,43.47,172,8249,31.0,15.0,3.0,93.0,,,,,,,,,51.12,44.05,114.0,5828.0,29.75,23.25,4.0,119.0
2000,47,061,47061,41.98,33.15,771,32366,,,,,64.0,39.0,2.0,128.0,,,,,41.17,33.45,626.0,25770.0,16.0,23.0,1.0,16.0
2000,12,067,12067,48.83,42.4,169,8253,26.0,36.0,1.0,26.0,43.57,26.86,7.0,305.0,,,,,53.87,47.98,103.0,5549.0,120.0,88.0,1.0,120.0
2000,46,119,46119,76.38,58.94,16,1222,,,,,,,,,,,,,84.83,63.75,12.0,1018.0,,,,
2000,37,165,37165,53.65,37.52,1833,98335,43.32,33.86,78.0,3379.0,45.79,30.52,395.0,18088.0,69.0,52.78,9.0,621.0,60.4,45.05,643.0,38834.0,53.2,34.4,10.0,532.0
2000,06,300,06300,95.0,496.0,1,95,95.0,496.0,1.0,95.0,,,,,,,,,,,,,,,,
2000,17,105,17105,63.78,54.07,664,42350,61.0,23.5,2.0,122.0,60.0,59.6,5.0,300.0,76.0,76.67,3.0,228.0,67.09,55.62,402.0,26971.0,82.33,43.33,3.0,247.0
2000,28,083,28083,49.27,40.3,1117,55038,10.0,16.0,1.0,10.0,41.89,27.7,342.0,14327.0,,,,,64.68,57.27,321.0,20761.0,42.17,43.5,6.0,253.0
2000,26,019,26019,91.91,67.26,771,70866,88.11,67.78,9.0,793.0,,,,,102.0,27.0,1.0,102.0,97.93,72.98,520.0,50921.0,101.0,43.0,4.0,404.0
2000,00,000,00000,313.5,240.5,4,1254,,,,,,,,,,,,,148.5,119.5,2.0,297.0,221.0,64.0,1.0,221.0
2000,12,073,12073,83.16,61.36,11233,934162,67.44,46.54,39.0,2630.0,67.45,43.78,2007.0,135364.0,109.73,73.26,130.0,14265.0,97.19,71.94,5690.0,552990.0,82.59,62.06,162.0,13379.0
2000,51,187,51187,83.69,62.57,1307,109380,63.67,30.22,9.0,573.0,79.2,50.28,25.0,1980.0,77.0,34.0,2.0,154.0,89.46,58.44,770.0,68884.0,67.64,45.27,11.0,744.0
2000,08,071,08071,78.76,53.86,552,43478,46.0,44.67,3.0,138.0,51.0,58.67,3.0,153.0,,,,,95.47,67.35,237.0,22626.0,71.01,43.94,98.0,6959.0
2000,16,079,16079,53.82,43.78,566,30462,51.0,33.8,5.0,255.0,,,,,54.0,28.0,1.0,54.0,55.14,45.63,370.0,20402.0,47.0,35.0,6.0,282.0
2000,31,125,31125,57.67,38.71,24,1384,,,,,,,,,,,,,52.58,40.83,12.0,631.0,,,,
2000,26,133,26133,61.41,45.34,1206,74058,42.22,30.56,9.0,380.0,95.33,171.0,3.0,286.0,53.25,40.75,4.0,213.0,64.55,47.14,751.0,48478.0,,,,
2000,36,101,36101,56.88,46.43,3798,216040,45.74,34.63,19.0,869.0,106.13,76.55,31.0,3290.0,144.73,87.18,22.0,3184.0,56.16,46.68,2548.0,143083.0,88.75,65.5,12.0,1065.0
2000,40,103,40103,51.88,46.06,283,14683,15.0,49.0,1.0,15.0,38.0,36.0,2.0,76.0,,,,,56.25,48.41,170.0,9562.0,32.33,27.33,3.0,97.0
2000,40,055,40055,39.48,52.48,95,3751,,,,,18.0,27.0,1.0,18.0,,,,,36.28,64.3,53.0,1923.0,34.0,24.0,2.0,68.0
2000,72,031,72031,83.8,61.48,4336,363344,40.0,77.0,1.0,40.0,140.0,85.33,3.0,420.0,89.83,54.67,6.0,539.0,162.47,110.29,34.0,5524.0,82.92,59.77,4226.0,350435.0
2000,72,109,72109,51.19,35.4,186,9522,,,,,,,,,,,,,,,,,49.7,34.82,182.0,9046.0
2000,NA,179,NA179,400.0,59.0,1,400,,,,,,,,,,,,,,,,,400.0,59.0,1.0,400.0
2000,55,041,55041,69.49,63.83,222,15427,43.14,65.71,7.0,302.0,62.0,84.0,1.0,62.0,,,,,77.69,68.8,153.0,11887.0,40.0,26.0,1.0,40.0
2000,31,141,31141,68.14,54.79,621,42318,,,,,157.25,64.5,4.0,629.0,38.0,25.67,3.0,114.0,74.4,52.67,353.0,26263.0,46.57,54.14,21.0,978.0
2000,31,061,31061,58.09,43.23,44,2556,,,,,,,,,,,,,56.19,40.35,26.0,1461.0,,,,
2000,78,010,78010,210.0,100.0,1,210,,,,,,,,,,,,,210.0,100.0,1.0,210.0,,,,
2000,41,061,41061,79.58,51.47,736,58573,42.8,51.6,5.0,214.0,107.0,40.0,1.0,107.0,83.5,38.0,2.0,167.0,80.89,50.4,466.0,37695.0,58.0,36.0,2.0,116.0
2000,06,595,06595,19.0,4507.0,1,19,19.0,4507.0,1.0,19.0,,,,,,,,,,,,,,,,
2000,31,009,31009,45.0,40.0,1,45,,,,,,,,,,,,,45.0,40.0,1.0,45.0,,,,
2000,NA,025,NA025,72.0,0.0,1,72,,,,,,,,,,,,,,,,,72.0,0.0,1.0,72.0
2000,51,181,51181,81.27,49.2,241,19585,48.0,30.5,2.0,96.0,63.01,39.52,67.0,4222.0,98.0,148.0,2.0,196.0,122.38,63.76,63.0,7710.0,102.0,52.0,1.0,102.0
2000,36,085,36085,147.83,80.16,14959,2211438,297.62,63.54,68.0,20238.0,141.43,63.44,553.0,78213.0,166.9,84.6,560.0,93462.0,165.99,84.16,8327.0,1382203.0,153.32,69.73,692.0,106095.0
2000,48,301,48301,36.0,30.0,1,36,,,,,,,,,,,,,36.0,30.0,1.0,36.0,,,,
2000,41,009,41009,106.36,60.47,2463,261953,66.08,56.33,12.0,793.0,152.33,109.83,6.0,914.0,118.28,59.72,18.0,2129.0,109.41,61.07,1827.0,199896.0,96.63,61.75,24.0,2319.0
2000,01,077,01077,67.69,51.38,3623,245253,49.6,34.8,10.0,496.0,58.15,40.4,200.0,11629.0,94.0,57.83,6.0,564.0,68.5,50.59,2794.0,191393.0,65.0,30.67,9.0,585.0
2000,51,650,51650,65.93,52.92,3854,254109,60.13,54.38,8.0,481.0,66.3,47.78,883.0,58547.0,76.81,50.14,37.0,2842.0,71.01,61.13,1297.0,92095.0,58.69,64.03,39.0,2289.0
2000,26,001,26001,76.04,62.7,530,40302,52.5,86.25,4.0,210.0,198.0,205.5,2.0,396.0,,,,,83.31,67.5,353.0,29407.0,39.0,39.0,2.0,78.0
2000,22,011,22011,46.4,43.0,1289,59812,36.14,30.29,7.0,253.0,36.1,34.99,81.0,2924.0,69.2,58.4,5.0,346.0,46.41,44.98,848.0,39358.0,48.17,60.0,6.0,289.0
2000,13,017,13017,46.37,35.35,846,39226,40.0,32.8,5.0,200.0,39.57,28.21,174.0,6886.0,269.0,219.0,4.0,1076.0,49.3,38.31,305.0,15035.0,46.45,32.73,11.0,511.0
2000,46,103,46103,63.01,54.95,3714,234023,42.02,43.8,64.0,2689.0,56.0,41.0,13.0,728.0,69.0,38.14,7.0,483.0,66.82,58.36,2516.0,168121.0,56.9,52.16,31.0,1764.0
2000,46,055,46055,43.97,37.42,38,1671,,,,,,,,,,,,,46.05,29.16,19.0,875.0,,,,
2000,36,091,36091,83.19,62.47,8915,741668,49.5,50.07,28.0,1386.0,83.97,59.58,65.0,5458.0,120.76,83.4,63.0,7608.0,86.77,63.33,6602.0,572867.0,76.49,61.25,57.0,4360.0
2000,54,061,54061,64.81,52.42,2274,147384,41.38,35.75,8.0,331.0,88.62,64.0,26.0,2304.0,106.77,65.91,22.0,2349.0,66.4,55.66,1544.0,102521.0,23.0,19.5,2.0,46.0
2000,05,905,05905,117.0,0.0,1,117,117.0,0.0,1.0,117.0,,,,,,,,,,,,,,,,
2000,54,009,54009,53.29,46.24,1033,55053,,,,,47.17,46.0,6.0,283.0,,,,,53.61,47.23,680.0,36455.0,49.33,30.67,3.0,148.0
2000,45,071,45071,59.56,40.37,2183,130025,47.22,37.78,9.0,425.0,48.83,34.19,463.0,22606.0,41.25,28.0,4.0,165.0,69.28,48.58,836.0,57916.0,43.65,31.78,37.0,1615.0
2000,16,097,16097,56.0,25.0,1,56,,,,,56.0,25.0,1.0,56.0,,,,,,,,,,,,
2000,47,141,47141,67.76,44.99,2871,194529,33.36,36.91,11.0,367.0,66.5,41.81,36.0,2394.0,85.58,48.92,12.0,1027.0,67.67,45.21,2116.0,143196.0,84.88,41.59,17.0,1443.0
2000,08,121,08121,67.04,44.33,181,12134,13.5,37.0,2.0,27.0,,,,,,,,,67.68,42.51,124.0,8392.0,74.82,57.36,11.0,823.0
2000,00,NA ,00NA ,104.06,60.23,35,3642,,,,,87.0,55.0,2.0,174.0,121.0,57.5,2.0,242.0,152.67,97.83,6.0,916.0,90.62,52.86,21.0,1903.0
2000,12,027,12027,56.71,43.42,871,49391,38.33,58.0,3.0,115.0,50.7,30.77,43.0,2180.0,39.75,44.75,4.0,159.0,63.5,48.41,446.0,28323.0,45.29,46.34,58.0,2627.0
2000,40,119,40119,63.45,53.59,2005,127214,62.97,51.2,35.0,2204.0,49.94,37.03,36.0,1798.0,87.4,65.7,10.0,874.0,67.89,57.45,1380.0,93694.0,64.5,45.15,34.0,2193.0
2000,47,125,47125,67.58,48.38,6030,407490,75.23,44.86,22.0,1655.0,60.03,42.21,514.0,30856.0,85.98,61.52,48.0,4127.0,71.84,52.57,2972.0,213495.0,55.93,48.66,80.0,4474.0
2000,48,441,48441,58.88,54.63,2780,163677,46.7,45.5,10.0,467.0,43.28,37.68,57.0,2467.0,65.67,60.4,15.0,985.0,61.18,59.42,1863.0,113974.0,37.06,36.49,255.0,9450.0
2000,29,019,29019,82.69,61.45,6118,505916,62.14,50.52,21.0,1305.0,67.82,46.0,229.0,15530.0,121.54,66.41,99.0,12032.0,86.81,65.26,4270.0,370675.0,78.1,49.98,40.0,3124.0
2000,36,087,36087,166.82,100.33,9629,1606357,158.9,70.19,21.0,3337.0,153.71,82.18,637.0,97914.0,197.58,106.65,332.0,65597.0,184.34,105.8,5213.0,960988.0,148.43,80.13,492.0,73027.0
2000,29,133,29133,40.32,42.93,324,13063,37.0,102.0,1.0,37.0,25.11,30.5,18.0,452.0,,,,,43.58,47.64,146.0,6363.0,60.0,34.0,2.0,120.0
2000,48,227,48227,46.33,53.34,576,26684,17.0,68.25,4.0,68.0,54.78,48.22,9.0,493.0,74.5,82.0,2.0,149.0,51.26,59.26,356.0,18250.0,33.88,35.28,60.0,2033.0
2000,51,067,51067,90.61,60.62,2223,201432,68.57,73.0,7.0,480.0,56.13,34.23,119.0,6679.0,122.0,64.0,1.0,122.0,100.6,67.8,1403.0,141147.0,43.0,37.63,8.0,344.0
2000,54,023,54023,51.2,40.44,481,24628,39.0,20.0,1.0,39.0,47.0,32.0,1.0,47.0,97.75,124.5,4.0,391.0,50.33,39.81,394.0,19830.0,,,,
2000,02,290,02290,83.24,57.19,21,1748,72.5,58.5,4.0,290.0,45.0,66.0,1.0,45.0,,,,,78.27,54.36,11.0,861.0,,,,
2000,48,331,48331,54.98,51.93,556,30569,72.5,54.0,2.0,145.0,45.09,41.48,23.0,1037.0,80.0,38.0,1.0,80.0,58.34,55.29,338.0,19720.0,39.65,44.65,54.0,2141.0
2000,19,193,19193,63.58,55.8,4351,276626,47.3,47.65,20.0,946.0,56.96,46.12,25.0,1424.0,45.77,47.53,73.0,3341.0,69.01,57.7,2885.0,199106.0,42.79,34.02,124.0,5306.0
2000,17,093,17093,120.2,74.36,3366,404604,121.67,64.78,18.0,2190.0,144.03,88.84,75.0,10802.0,126.4,78.4,50.0,6320.0,126.49,75.92,2407.0,304469.0,113.21,61.81,186.0,21057.0
2000,51,073,51073,77.07,52.75,1322,101883,50.75,41.38,8.0,406.0,68.46,37.86,78.0,5340.0,31.5,37.5,2.0,63.0,80.41,54.28,754.0,60632.0,59.13,40.5,8.0,473.0
2000,47,049,47049,45.82,33.56,588,26941,19.0,27.0,3.0,57.0,,,,,41.5,32.0,2.0,83.0,45.47,30.55,378.0,17187.0,,,,
2000,19,NA ,19NA ,64.38,48.68,840,54083,33.86,36.57,7.0,237.0,51.0,27.86,7.0,357.0,56.8,51.8,5.0,284.0,68.1,48.92,632.0,43037.0,41.38,53.88,8.0,331.0
2000,24,043,24043,88.97,58.96,4355,387484,123.5,121.0,2.0,247.0,101.79,59.38,78.0,7940.0,142.0,65.5,10.0,1420.0,95.91,61.35,2764.0,265085.0,93.06,73.33,18.0,1675.0
2000,37,109,37109,81.89,51.62,4412,361300,52.25,34.5,16.0,836.0,61.31,39.13,183.0,11220.0,101.11,41.0,9.0,910.0,87.87,55.14,2763.0,242797.0,58.47,42.03,108.0,6315.0
2000,13,156,13156,104.0,65.0,1,104,,,,,,,,,,,,,,,,,,,,
2000,19,005,19005,59.5,42.42,178,10591,34.0,35.0,1.0,34.0,,,,,,,,,69.22,47.86,106.0,7337.0,,,,
2000,47,151,47151,44.0,33.82,911,40083,21.33,27.0,9.0,192.0,,,,,,,,,41.41,33.35,600.0,24843.0,,,,
2000,31,111,31111,61.8,49.63,889,54942,29.67,24.67,3.0,89.0,15.0,15.0,1.0,15.0,80.0,31.0,2.0,160.0,65.55,52.2,499.0,32708.0,71.79,51.89,28.0,2010.0
2000,21,227,21227,71.93,49.4,4670,335921,60.8,39.0,15.0,912.0,60.08,48.05,216.0,12978.0,77.88,61.94,17.0,1324.0,79.5,52.66,2881.0,229038.0,72.67,52.7,33.0,2398.0
2000,41,023,41023,88.22,53.94,152,13410,71.0,35.67,3.0,213.0,,,,,,,,,85.13,56.25,80.0,6810.0,159.57,67.71,7.0,1117.0
2000,37,031,37031,95.38,75.11,3417,325910,76.36,49.0,22.0,1680.0,47.01,31.98,141.0,6628.0,110.0,92.2,5.0,550.0,106.18,82.9,2351.0,249622.0,63.35,43.1,20.0,1267.0
2000,31,023,31023,49.25,45.21,194,9555,49.0,31.0,1.0,49.0,,,,,,,,,48.91,44.61,125.0,6114.0,65.0,60.0,1.0,65.0
2000,42,075,42075,70.33,51.75,4998,351512,73.24,67.59,17.0,1245.0,78.47,51.37,38.0,2982.0,86.96,60.63,27.0,2348.0,73.93,52.51,3312.0,244870.0,46.28,35.36,118.0,5461.0
2000,54,049,54049,51.81,37.44,1458,75541,41.75,30.25,8.0,334.0,51.76,35.79,29.0,1501.0,600.0,270.0,1.0,600.0,55.89,39.93,814.0,45496.0,50.25,27.5,4.0,201.0
2000,13,159,13159,79.4,51.57,558,44303,46.0,48.5,2.0,92.0,66.47,37.74,85.0,5650.0,,,,,89.33,60.58,301.0,26888.0,68.75,58.38,8.0,550.0
2000,53,037,53037,110.13,71.62,1585,174553,150.83,79.17,12.0,1810.0,90.33,91.67,3.0,271.0,114.38,63.88,8.0,915.0,114.59,73.13,1163.0,133270.0,84.0,41.15,27.0,2268.0
2000,53,015,53015,96.61,59.53,3963,382872,91.35,47.5,26.0,2375.0,111.87,57.52,23.0,2573.0,77.26,70.95,42.0,3245.0,100.65,59.74,2902.0,292085.0,74.43,44.68,56.0,4168.0
2000,13,277,13277,56.44,40.57,1804,101824,43.25,37.25,4.0,173.0,41.46,28.62,355.0,14718.0,79.73,59.45,11.0,877.0,68.38,49.08,840.0,57438.0,35.5,27.86,28.0,994.0
2000,29,177,29177,70.1,53.27,1143,80127,66.67,42.17,6.0,400.0,86.55,53.55,11.0,952.0,158.0,76.67,3.0,474.0,74.48,54.67,807.0,60108.0,51.2,56.8,5.0,256.0
2000,48,265,48265,77.41,62.45,1639,126879,120.69,102.69,13.0,1569.0,54.65,37.24,17.0,929.0,104.75,36.25,4.0,419.0,83.26,65.79,1088.0,90583.0,49.68,45.45,162.0,8048.0
2000,55,081,55081,57.24,44.62,1193,68282,45.5,23.5,2.0,91.0,80.0,45.5,2.0,160.0,60.5,39.5,4.0,242.0,59.75,46.8,788.0,47084.0,80.5,48.5,4.0,322.0
2000,48,473,48473,72.98,59.04,1444,105390,45.86,34.86,7.0,321.0,53.46,45.89,186.0,9944.0,114.08,59.92,12.0,1369.0,85.01,67.04,800.0,68010.0,50.28,41.23,158.0,7945.0
2000,22,069,22069,52.22,42.19,1469,76711,52.33,42.17,6.0,314.0,42.63,32.81,350.0,14920.0,72.0,373.0,1.0,72.0,58.11,47.68,722.0,41952.0,52.8,27.4,5.0,264.0
2000,41,049,41049,76.18,51.42,439,33442,62.0,43.5,2.0,124.0,111.0,32.5,2.0,222.0,,,,,81.0,60.29,241.0,19520.0,68.67,30.93,57.0,3914.0
2000,31,049,31049,53.85,41.62,26,1400,,,,,,,,,,,,,52.0,39.08,12.0,624.0,112.0,77.0,1.0,112.0
2000,25,025,25025,172.26,92.79,23620,4068697,146.06,66.21,68.0,9932.0,143.14,61.68,2949.0,422116.0,176.84,90.9,811.0,143418.0,195.22,107.72,12296.0,2400477.0,160.06,61.12,1571.0,251447.0
2000,28,045,28045,68.78,54.86,2701,185779,47.12,32.47,17.0,801.0,56.8,35.55,116.0,6589.0,63.47,53.27,15.0,952.0,70.93,56.24,1873.0,132849.0,77.0,94.1,21.0,1617.0
2000,13,255,13255,74.47,60.91,3019,224839,128.53,65.63,19.0,2442.0,68.02,52.29,414.0,28159.0,85.42,58.33,12.0,1025.0,80.2,68.24,1587.0,127280.0,56.68,63.18,22.0,1247.0
2000,27,143,27143,73.31,49.83,427,31304,,,,,,,,,74.33,54.67,3.0,223.0,78.08,50.66,294.0,22955.0,64.11,37.11,9.0,577.0
2000,47,023,47023,60.4,42.59,802,48441,,,,,51.49,33.9,63.0,3244.0,73.0,11.0,1.0,73.0,62.44,45.2,511.0,31909.0,50.0,36.0,2.0,100.0
2000,53,029,53029,134.79,75.14,3218,433749,112.37,54.3,27.0,3034.0,123.38,60.31,16.0,1974.0,136.73,74.77,44.0,6016.0,143.51,75.9,2315.0,332228.0,149.98,90.23,43.0,6449.0
2000,51,027,51027,35.45,33.13,753,26691,,,,,39.0,23.0,2.0,78.0,,,,,35.94,34.53,505.0,18150.0,21.0,25.0,1.0,21.0
2000,42,057,42057,65.1,46.95,428,27863,23.0,30.75,4.0,92.0,44.0,33.5,2.0,88.0,,,,,66.82,47.24,275.0,18375.0,,,,
