year,state,county,fips,loan_average_app,income_average_app,count_app,value_app,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app,not_applicable_loan_average_app,not_applicable_income_average_app,not_applicable_count_app,not_applicable_value_app,not_provided_loan_average_app,not_provided_income_average_app,not_provided_count_app,not_provided_value_app,no_co_app_loan_average_app,no_co_app_income_average_app,no_co_app_count_app,no_co_app_value_app
2004,19,143,19143,62.05,51.78,193,11975,,,,,,,,,,,,,62.63,52.87,163.0,10209.0,43.0,52.67,3.0,129.0,31.5,34.0,2.0,63.0,62.96,46.04,25.0,1574.0,,,,
2004,18,007,18007,77.82,50.72,597,46458,76.0,52.0,5.0,380.0,66.0,31.29,7.0,462.0,96.0,39.5,2.0,192.0,78.55,50.46,503.0,39509.0,,,,,63.6,40.4,5.0,318.0,74.63,55.16,75.0,5597.0,,,,
2004,13,091,13091,77.84,57.09,593,46162,65.0,41.0,1.0,65.0,65.02,41.5,92.0,5982.0,31.0,57.0,1.0,31.0,80.48,61.63,406.0,32675.0,65.5,24.5,2.0,131.0,81.5,55.0,2.0,163.0,79.94,53.43,89.0,7115.0,,,,
2004,40,135,40135,69.41,52.66,1922,133408,66.55,50.92,228.0,15174.0,81.71,49.12,34.0,2778.0,165.0,60.0,2.0,330.0,68.52,53.45,1445.0,99006.0,49.83,33.17,6.0,299.0,95.43,59.0,7.0,668.0,75.77,49.81,200.0,15153.0,,,,
2004,48,211,48211,62.17,85.94,82,5098,,,,,11.0,58.0,1.0,11.0,,,,,63.56,58.41,66.0,4195.0,,,,,35.0,15.0,1.0,35.0,61.21,222.79,14.0,857.0,,,,
2004,46,075,46075,29.5,42.25,4,118,,,,,,,,,,,,,29.5,42.25,4.0,118.0,,,,,,,,,,,,,,,,
2004,48,033,48033,65.08,68.5,12,781,,,,,,,,,,,,,78.22,73.44,9.0,704.0,,,,,,,,,25.67,53.67,3.0,77.0,,,,
2004,48,245,48245,81.05,74.66,10810,876146,77.04,59.69,84.0,6471.0,66.68,57.22,2400.0,160037.0,104.76,84.38,248.0,25980.0,85.73,80.72,6112.0,523961.0,93.74,75.94,31.0,2906.0,103.62,83.38,117.0,12123.0,79.58,76.09,1818.0,144668.0,,,,
2004,26,065,26065,112.36,71.15,25355,2849000,98.68,68.07,171.0,16874.0,96.49,59.68,2264.0,218447.0,151.58,82.25,458.0,69422.0,114.57,73.24,18569.0,2127476.0,147.32,78.33,91.0,13406.0,130.66,81.05,246.0,32142.0,104.4,65.38,3556.0,371233.0,,,,
2004,35,031,35031,94.96,65.98,1354,128576,63.19,49.33,283.0,17882.0,108.23,93.81,26.0,2814.0,124.93,103.6,15.0,1874.0,103.82,70.92,670.0,69558.0,94.03,102.52,29.0,2727.0,118.54,68.31,26.0,3082.0,100.46,62.65,305.0,30639.0,,,,
2004,47,145,47145,92.78,59.27,3600,334023,105.52,64.33,21.0,2216.0,85.75,53.27,85.0,7289.0,109.0,34.5,4.0,436.0,92.06,59.76,2979.0,274241.0,47.8,44.2,5.0,239.0,100.5,46.85,26.0,2613.0,97.89,58.12,480.0,46989.0,,,,
2004,13,085,13085,161.85,89.4,2143,346851,252.0,148.0,5.0,1260.0,273.45,123.82,22.0,6016.0,360.33,96.0,3.0,1081.0,158.46,89.85,1777.0,281587.0,203.67,110.5,6.0,1222.0,210.89,117.73,55.0,11599.0,160.31,76.44,275.0,44086.0,,,,
2004,39,165,39165,157.42,85.9,20542,3233724,158.6,94.91,58.0,9199.0,208.04,137.32,480.0,99861.0,189.08,97.75,588.0,111178.0,156.09,83.46,16604.0,2591639.0,171.66,95.95,44.0,7553.0,168.59,100.7,181.0,30515.0,148.35,87.87,2587.0,383779.0,,,,
2004,46,043,46043,62.07,49.16,58,3600,,,,,,,,,,,,,63.53,51.33,51.0,3240.0,,,,,,,,,51.43,33.29,7.0,360.0,,,,
2004,46,057,46057,81.22,65.85,242,19655,31.0,40.0,2.0,62.0,,,,,215.0,94.0,1.0,215.0,81.73,66.14,223.0,18226.0,24.0,33.0,1.0,24.0,,,,,75.2,65.27,15.0,1128.0,,,,
2004,21,211,21211,132.28,71.59,3058,404517,126.04,54.21,24.0,3025.0,108.5,60.0,150.0,16275.0,216.85,136.23,13.0,2819.0,135.04,73.04,2445.0,330164.0,62.67,45.67,6.0,376.0,123.63,79.9,40.0,4945.0,123.46,65.28,380.0,46913.0,,,,
2004,36,017,36017,71.46,55.39,2375,169723,56.38,46.5,8.0,451.0,92.15,48.07,27.0,2488.0,64.33,69.83,6.0,386.0,70.09,54.29,1814.0,127137.0,53.83,72.0,6.0,323.0,87.3,70.4,20.0,1746.0,75.29,58.97,494.0,37192.0,,,,
2004,21,033,21033,71.55,54.42,496,35490,11.0,300.0,1.0,11.0,43.0,33.89,18.0,774.0,52.0,34.5,2.0,104.0,73.74,49.92,400.0,29497.0,60.0,60.0,1.0,60.0,42.33,69.33,3.0,127.0,69.25,81.41,71.0,4917.0,,,,
2004,21,047,21047,79.84,62.19,2768,220995,100.68,54.0,25.0,2517.0,63.07,46.09,351.0,22136.0,169.93,81.93,15.0,2549.0,80.73,66.07,1916.0,154678.0,62.4,32.4,5.0,312.0,78.54,77.0,28.0,2199.0,85.52,57.18,428.0,36604.0,,,,
2004,40,043,40043,71.64,61.27,67,4800,115.0,63.0,1.0,115.0,,,,,,,,,72.05,60.84,55.0,3963.0,,,,,,,,,65.64,63.27,11.0,722.0,,,,
2004,30,059,30059,113.14,64.52,94,10635,72.0,54.67,3.0,216.0,,,,,,,,,111.23,64.51,83.0,9232.0,,,,,,,,,148.38,68.38,8.0,1187.0,,,,
2004,40,057,40057,54.98,52.15,48,2639,42.67,32.0,3.0,128.0,50.0,19.0,1.0,50.0,,,,,58.97,57.26,39.0,2300.0,,,,,,,,,32.2,31.0,5.0,161.0,,,,
2004,27,005,27005,120.09,72.96,2383,286180,84.39,58.61,31.0,2616.0,126.86,142.29,7.0,888.0,100.38,108.75,8.0,803.0,122.16,73.21,2105.0,257144.0,95.2,58.8,5.0,476.0,103.96,53.87,23.0,2391.0,107.17,71.2,204.0,21862.0,,,,
2004,20,045,20045,133.19,79.93,7653,1019284,117.98,67.98,58.0,6843.0,123.55,62.26,205.0,25327.0,144.27,84.64,107.0,15437.0,134.04,79.74,6303.0,844857.0,141.81,65.63,27.0,3829.0,136.54,91.66,106.0,14473.0,128.12,84.84,847.0,108518.0,,,,
2004,29,099,29099,116.44,62.88,23390,2723562,120.84,62.36,81.0,9788.0,108.44,52.25,174.0,18868.0,142.15,84.21,96.0,13646.0,116.82,62.59,18670.0,2181084.0,96.25,69.9,48.0,4620.0,113.76,70.04,415.0,47212.0,114.78,63.42,3906.0,448344.0,,,,
2004,26,147,26147,131.79,68.37,17327,2283602,117.82,73.32,79.0,9308.0,110.2,63.39,323.0,35593.0,190.39,124.75,51.0,9710.0,133.02,68.56,14333.0,1906608.0,166.0,83.76,21.0,3486.0,117.59,65.27,167.0,19637.0,127.18,66.56,2353.0,299260.0,,,,
2004,47,189,47189,126.14,70.46,9020,1137785,129.32,63.13,68.0,8794.0,117.6,58.53,471.0,55388.0,144.83,71.63,40.0,5793.0,126.74,71.14,6957.0,881703.0,144.13,242.69,16.0,2306.0,127.5,57.38,130.0,16575.0,124.98,70.68,1338.0,167226.0,,,,
2004,13,233,13233,94.94,59.09,2159,204985,84.0,47.42,19.0,1596.0,83.35,43.81,140.0,11669.0,76.55,44.82,11.0,842.0,97.17,60.53,1572.0,152745.0,80.0,21.75,4.0,320.0,104.42,70.15,33.0,3446.0,90.44,59.2,380.0,34367.0,,,,
2004,13,101,13101,74.42,52.4,86,6400,72.0,36.0,1.0,72.0,59.0,44.83,6.0,354.0,,,,,74.81,54.25,72.0,5386.0,,,,,,,,,84.0,42.14,7.0,588.0,,,,
2004,29,175,29175,70.7,49.66,1196,84562,53.0,38.0,6.0,318.0,50.5,41.9,40.0,2020.0,49.6,22.6,5.0,248.0,72.04,50.33,968.0,69737.0,75.0,24.0,1.0,75.0,62.4,89.8,5.0,312.0,69.31,47.86,171.0,11852.0,,,,
2004,55,137,55137,103.57,65.12,2024,209625,78.67,54.5,6.0,472.0,109.6,57.8,10.0,1096.0,125.83,73.83,6.0,755.0,104.03,65.7,1746.0,181631.0,96.5,49.75,4.0,386.0,96.27,49.13,15.0,1444.0,100.59,62.42,237.0,23841.0,,,,
2004,27,NA ,27NA ,154.1,67.5,1352,208343,113.6,34.8,5.0,568.0,180.25,64.35,48.0,8652.0,169.95,66.38,42.0,7138.0,149.96,70.25,826.0,123871.0,169.43,81.71,7.0,1186.0,178.4,69.6,5.0,892.0,157.6,62.69,419.0,66036.0,,,,
2004,36,013,36013,79.46,66.41,5755,457299,92.72,94.94,32.0,2967.0,69.53,39.29,62.0,4311.0,130.11,139.61,18.0,2342.0,79.05,67.34,4600.0,363619.0,87.91,66.09,11.0,967.0,92.16,110.8,25.0,2304.0,80.23,60.5,1007.0,80789.0,,,,
2004,01,093,01093,75.57,52.74,987,74590,40.0,19.0,1.0,40.0,60.34,64.54,35.0,2112.0,115.67,57.0,3.0,347.0,74.25,51.12,790.0,58658.0,,,,,71.86,65.57,7.0,503.0,85.63,58.0,151.0,12930.0,,,,
2004,48,047,48047,63.0,59.48,205,12915,59.5,57.5,2.0,119.0,,,,,,,,,64.63,60.77,130.0,8402.0,64.0,23.0,1.0,64.0,64.67,32.33,3.0,194.0,59.94,58.81,69.0,4136.0,,,,
2004,46,135,46135,91.62,62.89,888,81362,80.33,42.0,3.0,241.0,125.5,55.5,2.0,251.0,,,,,91.83,61.29,760.0,69787.0,,,,,99.93,48.8,15.0,1499.0,88.74,76.83,108.0,9584.0,,,,
2004,51,790,51790,94.01,54.63,1533,144111,108.0,46.5,2.0,216.0,86.04,43.39,109.0,9378.0,143.0,84.86,7.0,1001.0,92.89,55.4,1083.0,100595.0,371.0,91.0,1.0,371.0,108.6,58.43,68.0,7385.0,95.68,54.24,263.0,25165.0,,,,
2004,38,011,38011,60.57,51.88,82,4967,,,,,,,,,,,,,61.49,52.19,77.0,4735.0,,,,,,,,,46.4,47.0,5.0,232.0,,,,
2004,34,031,34031,218.18,97.98,33101,7221834,189.07,81.05,554.0,104744.0,197.72,84.24,2404.0,475314.0,248.69,111.94,1362.0,338716.0,222.11,99.39,19611.0,4355825.0,207.44,82.95,238.0,49370.0,212.67,87.13,705.0,149931.0,212.46,98.84,8227.0,1747934.0,,,,
2004,31,145,31145,71.87,54.67,435,31264,78.0,29.0,1.0,78.0,62.5,35.5,2.0,125.0,64.0,55.0,1.0,64.0,72.06,54.82,348.0,25077.0,,,,,60.0,43.0,5.0,300.0,72.05,55.56,78.0,5620.0,,,,
2004,17,185,17185,68.24,56.05,303,20677,162.0,135.0,1.0,162.0,59.8,49.8,5.0,299.0,92.0,73.0,3.0,276.0,66.69,55.28,237.0,15805.0,,,,,,,,,72.54,57.49,57.0,4135.0,,,,
2004,40,075,40075,57.63,57.67,327,18846,64.67,56.33,3.0,194.0,60.31,42.23,13.0,784.0,42.64,38.18,11.0,469.0,56.61,62.49,248.0,14040.0,61.67,52.67,3.0,185.0,84.0,43.75,4.0,336.0,63.07,42.0,45.0,2838.0,,,,
2004,30,033,30033,51.0,45.22,9,459,,,,,,,,,,,,,52.86,43.71,7.0,370.0,,,,,,,,,44.5,50.5,2.0,89.0,,,,
2004,39,109,39109,110.74,66.39,7828,866907,103.46,53.36,28.0,2897.0,103.68,52.46,111.0,11508.0,134.07,104.33,42.0,5631.0,111.09,66.78,6397.0,710614.0,153.2,178.1,10.0,1532.0,112.9,57.81,52.0,5871.0,108.46,63.98,1188.0,128854.0,,,,
2004,54,021,54021,67.76,47.95,207,14026,,,,,,,,,100.0,120.0,1.0,100.0,69.2,49.28,179.0,12386.0,,,,,,,,,57.04,36.44,27.0,1540.0,,,,
2004,39,031,39031,87.35,50.09,2157,188411,83.38,29.75,8.0,667.0,77.59,49.81,32.0,2483.0,112.8,64.6,5.0,564.0,86.93,49.62,1715.0,149091.0,60.0,30.0,1.0,60.0,75.71,46.43,7.0,530.0,90.02,52.56,389.0,35016.0,,,,
