year,state,county,fips,loan_average_app,income_average_app,count_app,value_app,fips,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,fips,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,fips,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app,fips,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,fips,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app,fips,not_applicable_loan_average_app,not_applicable_income_average_app,not_applicable_count_app,not_applicable_value_app,fips,not_provided_loan_average_app,not_provided_income_average_app,not_provided_count_app,not_provided_value_app,fips,no_co_app_loan_average_app,no_co_app_income_average_app,no_co_app_count_app,no_co_app_value_app
2006,42,015,42015,87.27,58.78,2863,249860,26041,71.43,30.43,7.0,500.0,26041,60.0,13.0,1.0,60.0,26041,66.2,42.2,5.0,331.0,01127,91.44,63.42,2828,258606,26041,63.5,47.0,2.0,127.0,26041,102.11,87.5,18.0,1838.0,26041,93.47,54.43,180.0,16824.0,,,,,
2006,22,079,22079,95.14,75.42,6185,588451,01127,81.76,47.76,17.0,1390.0,01127,70.45,45.19,155.0,10920.0,01127,112.25,72.75,8.0,898.0,48389,57.86,65.16,160,9257,01127,109.5,41.5,2.0,219.0,48295,52.0,35.67,6.0,312.0,48295,55.33,58.67,3.0,166.0,,,,,
2006,20,145,20145,60.41,61.3,152,9182,48389,56.0,24.0,1.0,56.0,48389,62.5,62.0,2.0,125.0,48389,112.67,173.0,3.0,338.0,56017,86.46,59.38,181,15649,56017,108.0,276.0,1.0,108.0,01127,106.06,74.92,102.0,10818.0,01127,93.33,55.14,415.0,38731.0,,,,,
2006,20,201,20201,58.8,49.14,109,6409,56017,38.5,78.5,2.0,77.0,20043,75.29,38.43,7.0,527.0,37183,176.99,110.0,3207.0,567622.0,37147,115.87,86.07,5753,666599,37183,138.17,87.06,275.0,37998.0,48389,69.0,45.5,2.0,138.0,48389,65.24,54.49,37.0,2414.0,,,,,
2006,54,045,54045,69.75,59.34,1339,93401,37183,136.1,98.32,319.0,43415.0,37183,130.09,77.16,11621.0,1511771.0,37147,137.99,90.19,102.0,14075.0,72085,126.48,61.79,817,103332,37147,102.86,71.73,22.0,2263.0,56017,114.9,68.14,21.0,2413.0,56017,101.63,48.84,19.0,1931.0,,,,,
2006,12,047,12047,102.45,65.1,525,53784,37147,99.58,65.08,38.0,3784.0,37147,96.35,64.66,2126.0,204848.0,48497,172.3,135.96,23.0,3963.0,05053,87.31,64.69,676,59021,48497,101.14,62.57,7.0,708.0,20043,42.83,72.67,6.0,257.0,20043,88.88,60.31,32.0,2844.0,,,,,
2006,53,075,53075,127.93,80.61,1754,224386,72085,116.21,54.36,14.0,1627.0,72085,107.47,42.81,43.0,4621.0,21207,125.0,125.0,1.0,125.0,47123,105.24,64.13,2155,226799,05053,110.0,47.0,2.0,220.0,37183,149.57,101.43,5486.0,820539.0,37183,154.02,97.16,12318.0,1897190.0,,,,,
2006,37,137,37137,151.49,106.31,779,118012,48497,67.87,67.06,47.0,3190.0,48497,116.53,89.28,53.0,6176.0,05053,235.0,132.0,1.0,235.0,36059,326.46,158.62,48220,15742094,47123,77.5,71.5,2.0,155.0,37147,120.02,86.02,457.0,54851.0,37147,111.99,73.64,1369.0,153314.0,,,,,
2006,42,037,42037,99.38,61.92,3735,371187,05053,167.0,9.0,1.0,167.0,05053,58.09,32.55,11.0,639.0,47123,110.89,70.0,9.0,998.0,42057,119.51,59.03,762,91067,36059,298.68,138.43,493.0,147250.0,72085,133.37,62.54,63.0,8402.0,72085,100.98,51.06,82.0,8280.0,,,,,
2006,27,155,27155,68.74,53.01,121,8317,31147,100.0,30.0,1.0,100.0,21207,77.0,39.33,3.0,231.0,36059,365.22,174.21,4689.0,1712512.0,20031,77.08,63.22,313,24126,42057,60.0,43.0,1.0,60.0,48497,102.54,101.56,180.0,18457.0,48497,106.24,85.42,578.0,61408.0,,,,,
2006,22,107,22107,76.42,66.0,144,11004,47123,66.25,81.0,4.0,265.0,31147,106.0,33.5,2.0,212.0,01011,70.0,78.5,2.0,140.0,28033,125.32,82.83,8574,1074518,31151,83.0,54.0,1.0,83.0,05053,86.58,75.6,43.0,3723.0,21207,90.71,57.61,70.0,6350.0,,,,,
2006,26,077,26077,114.74,76.18,17030,1953987,36059,308.5,147.97,371.0,114455.0,47123,98.51,46.17,72.0,7093.0,72147,297.5,323.0,2.0,595.0,40129,64.07,57.41,44,2819,28033,107.66,80.05,38.0,4091.0,21207,93.85,59.46,13.0,1220.0,05053,100.46,70.47,115.0,11553.0,,,,,
2006,06,NA ,06NA ,225.49,108.52,19121,4311677,72147,147.2,59.6,5.0,736.0,36059,280.95,118.45,13290.0,3733761.0,42057,74.25,65.75,4.0,297.0,23031,175.56,89.53,14926,2620396,22061,107.5,71.5,2.0,215.0,47123,102.07,81.55,82.0,8370.0,47123,108.5,65.21,357.0,38735.0,,,,,
2006,13,117,13117,196.94,110.66,20521,4041392,42057,82.0,29.0,3.0,246.0,01011,58.7,45.05,146.0,8570.0,31151,59.0,55.0,9.0,531.0,42045,165.69,101.43,24611,4077781,22057,118.57,83.43,7.0,830.0,31147,84.75,69.75,4.0,339.0,31147,56.89,52.44,18.0,1024.0,,,,,
2006,42,029,42029,213.43,119.0,38456,8207576,20031,76.67,74.67,6.0,460.0,72147,128.5,65.8,10.0,1285.0,28033,134.43,93.56,161.0,21644.0,12119,150.15,88.24,3666,550442,40135,68.0,85.0,1.0,68.0,36059,286.19,164.37,4471.0,1279558.0,36059,308.69,148.79,19621.0,6056797.0,,,,,
2006,39,173,39173,122.75,75.41,7765,953177,31151,91.0,71.75,4.0,364.0,42057,156.67,48.33,3.0,470.0,22061,85.18,150.64,11.0,937.0,36055,100.85,77.54,24767,2497765,72041,120.0,43.0,1.0,120.0,01011,46.25,59.25,4.0,185.0,01011,71.8,62.96,49.0,3518.0,,,,,
2006,28,049,28049,102.88,71.62,15509,1595570,31035,57.0,30.0,1.0,57.0,20031,36.0,47.5,2.0,72.0,22057,92.85,113.65,20.0,1857.0,18045,78.95,58.05,845,66711,51153,287.54,121.73,328.0,94314.0,72147,377.0,251.38,8.0,3016.0,72147,95.14,134.29,7.0,666.0,,,,,
2006,53,043,53043,104.55,65.75,760,79458,28033,102.4,63.51,45.0,4608.0,31151,85.0,53.0,4.0,340.0,40135,101.56,51.44,9.0,914.0,28047,127.86,102.46,6518,833418,23031,190.33,101.17,12.0,2284.0,42057,141.88,101.44,16.0,2270.0,42057,118.59,65.83,186.0,22058.0,,,,,
2006,13,179,13179,94.97,66.72,3669,348452,22061,117.0,46.5,2.0,234.0,28033,130.34,71.15,2962.0,386080.0,51153,328.27,141.69,4151.0,1362649.0,05141,74.06,65.15,731,54139,23015,216.0,62.0,1.0,216.0,20031,73.9,55.6,10.0,739.0,20031,91.31,60.62,45.0,4109.0,,,,,
2006,41,045,41045,98.41,62.08,1568,154311,40129,50.0,31.0,3.0,150.0,22061,80.29,57.08,343.0,27540.0,23031,154.44,91.68,90.0,13900.0,48343,70.14,56.95,279,19569,47025,43.0,23.5,2.0,86.0,31151,74.06,61.09,33.0,2444.0,31151,100.8,55.49,55.0,5544.0,,,,,
2006,46,095,46095,51.35,58.26,31,1592,22057,59.57,51.81,63.0,3753.0,40129,52.5,40.5,2.0,105.0,23015,162.13,43.88,8.0,1297.0,47181,88.29,50.83,368,32492,42045,142.98,79.99,145.0,20732.0,31035,89.89,49.89,9.0,809.0,31035,63.15,52.37,27.0,1705.0,,,,,
2006,04,027,04027,142.89,82.44,16391,2342081,40135,64.64,49.52,204.0,13187.0,22057,85.17,51.32,390.0,33215.0,42045,157.16,89.0,1723.0,270787.0,48153,60.62,53.64,91,5516,12119,202.0,145.44,9.0,1818.0,28033,130.33,89.43,764.0,99575.0,28033,123.7,75.64,2197.0,271774.0,,,,,
2006,01,001,01001,110.38,71.06,3640,401767,72041,101.97,60.28,29.0,2957.0,40135,72.9,47.33,21.0,1531.0,29063,148.8,78.8,5.0,744.0,28087,105.31,81.68,1453,153017,36055,103.32,84.34,91.0,9402.0,22061,115.58,74.4,55.0,6357.0,22061,117.7,79.8,180.0,21186.0,,,,,
2006,53,057,53057,192.94,89.03,10344,1995750,51153,259.41,116.46,434.0,112582.0,72041,107.49,53.51,37.0,3977.0,12119,123.25,90.97,32.0,3944.0,19097,87.23,57.77,760,66296,39063,97.0,35.6,5.0,485.0,40129,67.0,26.0,1.0,67.0,40129,52.67,129.17,6.0,316.0,,,,,
2006,31,045,31045,95.49,65.77,284,27118,23031,186.98,76.48,58.0,10845.0,51153,283.4,112.18,9760.0,2766018.0,36055,117.58,85.56,609.0,71607.0,17155,98.29,78.75,197,19364,28047,106.03,61.73,30.0,3181.0,22057,119.24,73.93,127.0,15143.0,22057,102.38,65.33,553.0,56615.0,,,,,
2006,72,003,72003,118.82,52.66,432,51329,23015,144.89,56.78,9.0,1304.0,23031,197.79,72.21,62.0,12263.0,18045,85.5,38.0,2.0,171.0,45073,159.95,107.0,3109,497273,34009,279.62,182.08,13.0,3635.0,40135,98.14,88.24,29.0,2846.0,40135,81.27,54.88,234.0,19018.0,,,,,
2006,23,007,23007,129.83,92.69,1908,247714,47025,97.57,51.29,7.0,683.0,23015,168.6,50.2,5.0,843.0,39063,124.14,70.64,44.0,5462.0,37143,152.02,76.29,446,67803,05141,58.0,57.0,2.0,116.0,72041,145.47,55.26,62.0,9019.0,72041,109.99,52.34,100.0,10999.0,,,,,
2006,28,151,28151,77.31,61.04,1423,110006,42045,117.5,74.12,131.0,15392.0,47025,56.86,48.29,14.0,796.0,28047,131.33,99.07,357.0,46885.0,28035,99.84,75.32,2497,249312,48153,30.0,66.0,1.0,30.0,51153,234.09,115.0,3335.0,780683.0,51153,283.33,114.56,9860.0,2793603.0,,,,,
2006,06,005,06005,252.36,112.08,3829,966292,29063,131.33,46.67,3.0,394.0,42045,103.69,62.63,5846.0,606175.0,34009,374.16,207.67,81.0,30307.0,31027,71.13,50.13,193,13729,19097,67.75,55.75,4.0,271.0,23031,158.97,92.62,1133.0,180113.0,23031,174.5,89.64,3290.0,574111.0,,,,,
2006,13,207,13207,147.44,80.09,1791,264064,12119,106.87,55.35,23.0,2458.0,29063,127.17,50.67,6.0,763.0,05141,56.67,52.67,3.0,170.0,39059,83.36,57.18,1729,144130,28087,104.0,41.5,2.0,208.0,23015,189.83,102.74,84.0,15946.0,23015,176.45,94.77,457.0,80638.0,,,,,
2006,51,197,51197,98.81,55.66,1962,193860,36055,80.97,62.98,123.0,9959.0,12119,111.04,59.31,194.0,21542.0,28087,134.94,92.0,16.0,2159.0,20053,62.3,63.98,84,5233,45073,60.25,62.0,12.0,723.0,47025,104.84,68.63,62.0,6500.0,47025,91.88,52.31,177.0,16262.0,,,,,
2006,51,059,51059,314.54,141.63,93915,29540371,18045,77.8,41.2,5.0,389.0,36055,73.19,55.44,3668.0,268474.0,19097,105.0,23.0,1.0,105.0,49007,91.12,67.11,836,76177,36101,49.14,56.14,7.0,344.0,42045,156.12,103.55,1507.0,235272.0,42045,141.53,89.13,8979.0,1270814.0,,,,,
2006,40,095,40095,86.91,70.56,735,63881,39063,62.75,44.0,8.0,502.0,39063,88.37,50.93,70.0,6186.0,45073,145.33,111.62,21.0,3052.0,27113,80.38,62.01,398,31992,37143,392.0,127.33,3.0,1176.0,29063,86.76,56.76,21.0,1822.0,29063,101.39,55.29,69.0,6996.0,,,,,
2006,01,133,01133,114.06,83.06,943,107560,34009,242.28,154.21,29.0,7026.0,28047,103.38,66.34,1242.0,128395.0,36101,147.76,117.76,29.0,4285.0,18131,81.79,55.49,733,59949,28035,55.33,327.33,3.0,166.0,12119,165.31,79.76,184.0,30417.0,12119,145.61,81.9,779.0,113427.0,,,,,
2006,22,097,22097,94.72,60.37,3052,289084,28047,91.03,66.26,34.0,3095.0,34009,195.82,97.51,333.0,65209.0,28035,119.53,71.16,19.0,2271.0,28003,79.22,61.88,1095,86745,13141,257.0,156.0,1.0,257.0,36055,110.72,89.06,937.0,103748.0,36055,98.68,70.65,5912.0,583393.0,,,,,
2006,13,035,13035,117.63,75.64,1868,219742,48343,56.67,65.0,3.0,170.0,05141,94.75,127.75,4.0,379.0,37143,118.75,43.5,4.0,475.0,13253,99.36,71.72,225,22356,39091,106.75,35.25,4.0,427.0,18045,83.56,57.26,34.0,2841.0,18045,80.02,55.59,179.0,14323.0,,,,,
2006,24,037,24037,214.54,95.35,11691,2508196,05141,44.33,22.67,6.0,266.0,48343,58.54,41.68,71.0,4156.0,39091,130.6,65.6,5.0,653.0,50009,97.69,62.44,290,28330,39059,86.0,41.75,4.0,344.0,39063,97.97,70.58,111.0,10875.0,39063,112.72,68.34,709.0,79919.0,,,,,
2006,42,115,42115,98.11,67.25,2501,245385,30073,88.0,29.67,3.0,264.0,47181,117.43,37.14,7.0,822.0,39059,139.8,117.0,5.0,699.0,17181,83.3,57.31,353,29406,48297,35.0,29.0,1.0,35.0,28047,133.17,92.4,642.0,85495.0,28047,122.23,90.48,1691.0,206690.0,,,,,
2006,32,005,32005,307.4,144.08,5078,1560973,47181,19.0,48.0,1.0,19.0,48153,20.0,16.0,1.0,20.0,48297,270.0,180.0,2.0,540.0,20095,74.62,56.07,233,17386,47151,79.5,79.0,2.0,159.0,34009,399.71,287.71,730.0,291791.0,34009,285.24,162.43,3260.0,929896.0,,,,,
2006,39,041,39041,202.59,115.23,14431,2923520,48153,48.0,76.33,3.0,144.0,28087,80.13,54.8,694.0,55613.0,47151,65.67,168.67,3.0,197.0,31177,129.99,82.44,1079,140260,49007,72.0,26.0,1.0,72.0,05141,122.48,82.55,33.0,4042.0,05141,81.35,57.08,102.0,8298.0,,,,,
