year,state,county,loan_average_app,income_average_app,count_app,value_app,fips,fips,hawaiian_loan_average_app,hawaiian_income_average_app,hawaiian_count_app,hawaiian_value_app,fips,not_applicable_loan_average_app,not_applicable_income_average_app,not_applicable_count_app,not_applicable_value_app,fips,native_loan_average_app,native_income_average_app,native_count_app,native_value_app,fips,white_loan_average_app,white_income_average_app,white_count_app,white_value_app,fips,not_provided_loan_average_app,not_provided_income_average_app,not_provided_count_app,not_provided_value_app,fips,black_loan_average_app,black_income_average_app,black_count_app,black_value_app,fips,no_co_app_loan_average_app,no_co_app_income_average_app,no_co_app_count_app,no_co_app_value_app,fips,asian_loan_average_app,asian_income_average_app,asian_count_app,asian_value_app
2011,01,071,106.22,69.59,1090,115775,01071,28099,49.5,29.5,2.0,99.0,48295,115.33,72.67,3.0,346.0,01127,52.33,43.33,3.0,157.0,01127,105.14,71.52,1429.0,150246.0,26041,111.91,85.0,11.0,1231.0,01127,72.85,46.74,47.0,3424.0,,,,,,01127,97.5,71.25,4.0,390.0
2011,27,055,133.97,76.73,828,110925,27055,47183,167.0,96.0,1.0,167.0,26041,139.5,72.5,2.0,279.0,20043,10.0,25.0,1.0,10.0,48389,56.13,71.25,60.0,3368.0,01127,98.65,70.47,79.0,7793.0,48389,80.0,78.0,1.0,80.0,,,,,,48389,124.67,180.17,6.0,748.0
2011,04,013,198.91,125.91,107619,21406134,04013,26041,92.0,26.0,1.0,92.0,01127,187.39,98.94,31.0,5809.0,37183,179.88,99.27,125.0,22485.0,56017,121.42,75.1,92.0,11171.0,48389,88.5,88.83,6.0,531.0,20043,74.67,34.0,3.0,224.0,,,,,,37183,234.87,119.29,3693.0,867358.0
2011,22,041,87.66,64.25,264,23142,22041,01127,65.0,32.67,3.0,195.0,48389,54.5,52.5,2.0,109.0,37147,144.25,105.88,8.0,1154.0,37147,146.39,111.28,2920.0,427469.0,20043,102.43,76.86,7.0,717.0,37183,163.72,84.49,2608.0,426982.0,,,,,,72085,91.0,36.0,1.0,91.0
2011,27,103,140.43,87.99,1020,143241,27103,48389,60.0,34.0,1.0,60.0,56017,303.0,85.0,2.0,606.0,72085,10.0,36.0,1.0,10.0,72085,102.38,51.09,277.0,28360.0,56017,161.29,73.29,7.0,1129.0,37147,104.55,79.82,587.0,61368.0,,,,,,37147,168.44,97.35,55.0,9264.0
2011,01,083,155.87,88.21,3154,491610,01083,51079,175.0,54.0,1.0,175.0,20043,192.0,101.0,1.0,192.0,48497,95.29,77.38,21.0,2001.0,05053,92.98,70.71,388.0,36075.0,37183,219.14,134.71,5356.0,1173700.0,72085,82.0,33.25,4.0,328.0,,,,,,48497,167.14,100.86,7.0,1170.0
2011,39,097,153.18,97.75,1084,166042,39097,37183,181.35,107.67,86.0,15596.0,37183,238.58,123.91,1791.0,427301.0,21207,58.67,111.33,3.0,176.0,47123,123.55,68.2,1097.0,135536.0,37147,151.32,94.63,282.0,42673.0,48497,154.0,155.33,6.0,924.0,,,,,,21207,168.0,49.0,1.0,168.0
2011,05,015,120.6,89.44,785,94672,05015,51085,216.0,116.5,4.0,864.0,37147,193.23,145.76,62.0,11980.0,47123,62.17,43.17,6.0,373.0,36059,333.33,176.78,22585.0,7528187.0,72085,107.25,42.25,4.0,429.0,21207,101.0,60.0,1.0,101.0,,,,,,05053,46.0,18.0,1.0,46.0
2011,40,113,118.0,85.33,855,100893,40113,39173,260.0,108.0,1.0,260.0,72085,81.67,39.67,3.0,245.0,36059,311.44,176.26,72.0,22424.0,42057,124.91,73.94,256.0,31977.0,48497,169.23,109.88,141.0,23862.0,05053,81.69,47.38,13.0,1062.0,,,,,,47123,191.67,118.33,3.0,575.0
2011,05,027,94.43,67.32,508,47969,05027,37147,191.67,156.33,3.0,575.0,48497,172.87,121.64,45.0,7779.0,20031,98.0,36.0,1.0,98.0,20031,97.0,76.69,205.0,19884.0,21207,93.13,119.06,31.0,2887.0,47123,100.18,33.55,11.0,1102.0,,,,,,36059,389.73,170.15,2805.0,1093195.0
2011,19,047,81.38,72.65,249,20263,19047,48329,212.0,176.0,1.0,212.0,05053,99.0,63.5,4.0,396.0,31151,118.0,132.0,1.0,118.0,28033,139.44,93.6,2966.0,413569.0,05053,93.93,64.62,42.0,3945.0,36059,234.75,107.3,1442.0,338513.0,,,,,,31151,73.33,43.0,3.0,220.0
2011,31,137,103.03,77.7,137,14115,31137,48497,137.4,69.0,5.0,687.0,21207,127.38,185.0,8.0,1019.0,28033,145.0,100.82,11.0,1595.0,40129,72.33,111.85,27.0,1953.0,47123,122.2,56.42,133.0,16252.0,01011,51.09,42.45,67.0,3423.0,,,,,,28033,135.92,93.2,64.0,8699.0
2011,46,087,160.19,96.51,154,24670,46087,39139,30.0,69.0,1.0,30.0,47123,186.79,82.86,14.0,2615.0,22061,90.0,80.0,1.0,90.0,23031,192.45,110.98,7930.0,1526130.0,31147,96.25,58.5,4.0,385.0,72147,46.0,53.5,2.0,92.0,,,,,,22061,102.27,113.59,22.0,2250.0
2011,39,129,128.92,82.16,1276,164498,39129,13013,62.6,54.6,5.0,313.0,31147,98.67,67.33,3.0,296.0,22057,61.7,56.17,30.0,1851.0,42045,223.36,135.03,14202.0,3172216.0,36059,352.76,190.03,4168.0,1470301.0,31151,38.67,65.0,3.0,116.0,,,,,,40129,83.0,70.0,1.0,83.0
2011,26,111,143.96,102.73,2639,379916,26111,05053,79.33,87.0,3.0,238.0,36059,284.85,136.05,836.0,238138.0,40135,82.57,63.13,90.0,7431.0,12119,156.87,91.12,3466.0,543703.0,72147,33.0,58.0,1.0,33.0,28033,159.4,74.16,300.0,47820.0,,,,,,22057,154.54,59.69,13.0,2009.0
2011,72,121,75.79,40.71,113,8564,72121,47123,92.5,51.75,4.0,370.0,72147,609.5,169.25,4.0,2438.0,51153,242.7,121.2,66.0,16018.0,36055,132.83,101.21,11777.0,1564341.0,01011,83.67,58.89,9.0,753.0,22061,71.15,49.81,122.0,8680.0,,,,,,40135,71.5,41.5,2.0,143.0
2011,45,031,109.8,72.99,1051,115402,45031,24013,327.0,189.6,5.0,1635.0,01011,168.0,164.67,3.0,504.0,23031,142.42,84.95,19.0,2706.0,18045,84.01,67.71,364.0,30579.0,42057,172.71,91.05,21.0,3627.0,22057,76.81,50.77,180.0,13826.0,,,,,,72041,320.0,111.0,1.0,320.0
2011,48,085,206.54,134.84,39665,8192334,48085,34025,301.16,165.25,56.0,16865.0,42057,177.67,75.67,3.0,533.0,47025,83.25,61.13,8.0,666.0,28047,142.14,111.74,2888.0,410500.0,20031,109.65,102.82,17.0,1864.0,40135,73.5,28.75,4.0,294.0,,,,,,51153,239.09,111.99,1489.0,356012.0
2011,05,037,81.62,67.46,385,31424,05037,36059,277.98,138.58,83.0,23072.0,20031,201.2,92.2,5.0,1006.0,23015,132.0,21.0,1.0,132.0,48343,82.28,76.7,142.0,11684.0,31151,81.62,69.54,13.0,1061.0,72041,230.33,173.67,6.0,1382.0,,,,,,23031,170.94,100.59,63.0,10769.0
2011,37,163,98.74,65.01,1050,103679,37163,02110,119.6,85.4,5.0,598.0,31151,184.5,121.63,8.0,1476.0,42045,189.09,102.81,47.0,8887.0,05141,115.54,82.73,482.0,55689.0,31035,78.5,57.75,4.0,314.0,51153,232.73,114.27,1073.0,249719.0,,,,,,47025,106.8,64.2,5.0,534.0
2011,12,035,158.27,111.87,2648,419093,12035,28033,160.09,70.82,11.0,1761.0,28033,145.29,93.54,83.0,12059.0,12119,165.25,62.25,4.0,661.0,47181,111.35,62.45,148.0,16480.0,28033,153.03,81.03,361.0,55245.0,23031,183.4,89.13,15.0,2751.0,,,,,,23015,256.0,99.4,5.0,1280.0
2011,26,023,120.82,104.65,942,113816,26023,22061,125.0,68.0,2.0,250.0,22061,172.27,101.8,15.0,2584.0,36055,127.6,96.44,25.0,3190.0,48153,60.81,76.47,32.0,1946.0,22061,134.33,77.04,57.0,7657.0,23015,94.0,131.0,2.0,188.0,,,,,,42045,237.6,125.58,875.0,207901.0
2011,21,091,85.51,60.68,264,22574,21091,40129,42.0,36.0,1.0,42.0,40129,63.0,72.0,1.0,63.0,18045,29.0,44.33,3.0,87.0,28087,135.92,100.1,765.0,103979.0,40129,50.67,27.67,3.0,152.0,47025,234.25,71.75,4.0,937.0,,,,,,29063,106.0,29.0,1.0,106.0
2011,18,169,97.36,66.93,653,63576,18169,12103,150.82,102.16,45.0,6787.0,22057,172.89,99.25,53.0,9163.0,39063,207.8,91.2,5.0,1039.0,19097,107.7,78.86,389.0,41895.0,22057,120.11,76.02,204.0,24502.0,42045,127.19,79.61,808.0,102772.0,,,,,,12119,160.16,79.89,19.0,3043.0
2011,33,017,177.32,103.29,4024,713546,33017,22057,88.2,93.0,5.0,441.0,40135,124.9,66.5,20.0,2498.0,34009,226.57,104.57,14.0,3172.0,17155,108.11,91.3,112.0,12108.0,40135,71.57,43.13,76.0,5439.0,12119,167.1,89.57,42.0,7018.0,,,,,,36055,166.33,120.03,376.0,62540.0
2011,48,423,148.42,111.65,5266,781556,48423,40113,237.0,55.0,1.0,237.0,72041,137.2,59.4,5.0,686.0,28047,93.29,79.36,14.0,1306.0,45073,215.86,145.31,1620.0,349698.0,72041,91.0,14.0,1.0,91.0,36055,90.97,82.07,429.0,39026.0,,,,,,39063,164.38,137.25,24.0,3945.0
2011,22,099,106.56,77.79,1241,132247,22099,40135,412.0,112.0,1.0,412.0,51153,262.26,129.05,532.0,139522.0,05141,112.0,52.67,3.0,336.0,28035,125.17,99.01,1272.0,159215.0,51153,264.25,137.39,2716.0,717694.0,39063,182.2,234.0,5.0,911.0,,,,,,34009,389.0,272.83,77.0,29953.0
2011,17,129,116.97,86.78,594,69479,17129,48323,173.0,91.0,1.0,173.0,23031,203.35,103.49,267.0,54295.0,48343,116.0,57.0,2.0,232.0,37143,192.24,96.71,266.0,51135.0,23031,222.41,143.2,835.0,185709.0,34009,199.61,143.19,69.0,13773.0,,,,,,28047,123.91,122.56,104.0,12887.0
2011,33,007,127.47,96.29,599,76357,33007,51153,255.65,114.19,54.0,13805.0,23015,203.45,139.0,33.0,6714.0,30073,102.0,94.0,1.0,102.0,31027,104.04,70.1,70.0,7283.0,23015,215.15,133.62,131.0,28184.0,28047,97.56,71.17,277.0,27025.0,,,,,,28087,169.0,100.25,8.0,1352.0
2011,51,680,140.34,94.8,1505,211217,51680,23031,142.64,77.18,11.0,1569.0,47025,120.29,69.57,7.0,842.0,47181,95.0,61.33,3.0,285.0,39059,94.88,67.26,665.0,63094.0,47025,83.37,41.47,62.0,5169.0,48343,42.25,33.75,24.0,1014.0,,,,,,17155,50.0,150.0,1.0,50.0
2011,13,033,90.75,64.13,412,37389,13033,06113,251.33,128.85,54.0,13572.0,42045,222.17,125.18,627.0,139298.0,19097,142.0,107.0,2.0,284.0,49007,134.66,81.06,407.0,54806.0,42045,222.92,141.41,2342.0,522083.0,05141,40.0,21.0,1.0,40.0,,,,,,45073,267.75,178.08,12.0,3213.0
2011,13,245,113.06,86.68,2757,311694,13245,47025,106.0,32.0,1.0,106.0,29063,78.0,46.5,2.0,156.0,28087,60.67,69.67,3.0,182.0,20053,87.78,74.39,18.0,1580.0,29063,120.8,63.2,15.0,1812.0,28087,65.23,64.09,202.0,13177.0,,,,,,36101,185.09,116.65,34.0,6293.0
2011,42,013,113.22,84.66,2695,305122,42013,42045,233.26,137.76,50.0,11663.0,12119,169.42,83.4,52.0,8810.0,45073,120.6,62.0,5.0,603.0,27113,101.6,74.83,188.0,19100.0,12119,156.46,98.12,372.0,58204.0,45073,101.83,47.59,29.0,2953.0,,,,,,28035,124.3,78.1,10.0,1243.0
2011,24,017,220.39,113.17,4319,951873,24017,29063,194.0,99.5,2.0,388.0,36055,162.14,112.5,266.0,43128.0,36101,232.75,340.5,4.0,931.0,18131,95.64,70.46,235.0,22475.0,36055,126.7,97.85,1115.0,141266.0,36101,128.75,147.0,8.0,1030.0,,,,,,13141,158.0,155.0,1.0,158.0
2011,05,029,94.09,74.18,416,39142,05029,12119,248.5,174.5,2.0,497.0,18045,42.0,15.0,1.0,42.0,28035,103.88,93.75,8.0,831.0,28003,94.88,94.84,575.0,54554.0,18045,83.7,59.85,20.0,1674.0,28035,71.93,67.38,179.0,12876.0,,,,,,39059,318.0,130.0,1.0,318.0
2011,37,171,124.78,75.55,1555,194033,37171,36055,90.5,111.64,14.0,1267.0,39063,194.46,109.08,13.0,2528.0,37143,43.0,41.0,1.0,43.0,50009,135.07,77.83,163.0,22017.0,39063,135.74,95.73,151.0,20497.0,37143,116.75,61.66,56.0,6538.0,,,,,,23027,166.25,82.75,4.0,665.0
2011,29,125,101.22,65.42,226,22876,29125,29145,43.5,33.0,2.0,87.0,34009,269.54,182.8,316.0,85175.0,13141,85.0,31.0,1.0,85.0,13253,96.54,80.03,149.0,14385.0,34009,318.55,218.0,1233.0,392767.0,13141,68.56,40.81,27.0,1851.0,,,,,,27113,120.0,233.5,4.0,480.0
2011,21,085,101.13,76.9,622,62902,21085,39063,99.33,81.0,3.0,298.0,28047,136.62,106.68,37.0,5055.0,39091,64.06,93.5,16.0,1025.0,17181,108.03,90.8,154.0,16637.0,28047,139.37,97.31,289.0,40278.0,39091,72.6,53.6,5.0,363.0,,,,,,01015,240.46,158.54,13.0,3126.0
2011,20,205,82.64,70.53,72,5950,20205,49005,133.44,50.78,18.0,2402.0,05141,152.0,90.4,5.0,760.0,39059,35.6,116.2,5.0,178.0,20095,97.9,90.1,144.0,14098.0,48343,129.56,84.5,18.0,2332.0,39059,34.0,29.0,1.0,34.0,,,,,,06105,86.0,149.5,2.0,172.0
