year,state,county,fips,loan_average_orig,income_average_orig,count_orig,value_orig,fips,native_loan_average_orig,native_income_average_orig,native_count_orig,native_value_orig,fips,black_loan_average_orig,black_income_average_orig,black_count_orig,black_value_orig,fips,asian_loan_average_orig,asian_income_average_orig,asian_count_orig,asian_value_orig,fips,white_loan_average_orig,white_income_average_orig,white_count_orig,white_value_orig,fips,hawaiian_loan_average_orig,hawaiian_income_average_orig,hawaiian_count_orig,hawaiian_value_orig,fips,not_applicable_loan_average_orig,not_applicable_income_average_orig,not_applicable_count_orig,not_applicable_value_orig,fips,not_provided_loan_average_orig,not_provided_income_average_orig,not_provided_count_orig,not_provided_value_orig,fips,no_co_app_loan_average_orig,no_co_app_income_average_orig,no_co_app_count_orig,no_co_app_value_orig
2000,23,031,23031,106.42,74.97,4353,463235,26041,91.33,36.67,3.0,274.0,01127,41.0,35.56,25.0,1025.0,28099,98.0,84.0,2.0,196.0,26041,73.64,53.98,184.0,13549.0,26041,59.0,61.0,1.0,59.0,26041,68.29,46.55,55.0,3756.0,26041,128.67,70.67,3.0,386.0,26041,11.0,24.0,1.0,11.0
2000,22,055,22055,84.04,65.28,3901,327832,01127,59.67,56.0,3.0,179.0,17032,40.0,19.0,1.0,40.0,01127,47.0,114.5,4.0,188.0,48295,70.0,70.5,2.0,140.0,01127,44.0,53.0,1.0,44.0,48295,27.0,72.0,1.0,27.0,01127,24.5,18.5,2.0,49.0,01127,83.0,144.5,2.0,166.0
2000,19,007,19007,45.08,45.78,140,6311,20043,43.0,33.0,1.0,43.0,42042,23.0,12.0,1.0,23.0,20043,293.0,130.0,1.0,293.0,01127,63.4,45.82,856.0,54269.0,48389,37.8,35.7,10.0,378.0,01127,46.71,41.69,187.0,8735.0,20043,18.0,30.0,1.0,18.0,56017,2.0,23.0,1.0,2.0
2000,42,049,42049,67.08,59.88,5652,379137,37183,135.56,99.3,97.0,13149.0,37183,104.91,60.27,1522.0,159667.0,37183,159.06,85.35,599.0,95276.0,48389,43.38,52.63,8.0,347.0,20043,37.0,56.0,1.0,37.0,48389,27.29,33.14,7.0,191.0,37183,141.26,81.8,256.0,36163.0,37183,126.33,185.19,27.0,3411.0
2000,18,101,18101,62.42,47.66,112,6991,37147,79.56,51.44,9.0,716.0,37147,55.22,35.84,591.0,32633.0,51085,153.7,83.93,27.0,4150.0,56017,50.69,45.76,29.0,1470.0,56017,38.0,31.0,1.0,38.0,56017,51.86,55.57,7.0,363.0,37147,69.32,47.73,22.0,1525.0,51085,130.5,108.63,8.0,1044.0
2000,30,055,30055,27.33,35.33,3,82,72085,76.0,29.0,1.0,76.0,48497,91.83,47.0,6.0,551.0,39173,146.76,78.0,17.0,2495.0,20043,65.95,47.86,44.0,2902.0,37183,113.3,70.27,250.0,28324.0,20043,45.25,33.06,16.0,724.0,48497,84.83,71.0,6.0,509.0,39173,117.83,382.33,6.0,707.0
2000,28,029,28029,49.55,42.17,384,19026,48497,42.86,33.86,7.0,300.0,05053,27.4,39.8,5.0,137.0,37147,117.9,65.95,21.0,2476.0,42042,56.67,31.0,6.0,340.0,72085,64.67,47.36,266.0,17202.0,37183,125.13,81.53,2952.0,369376.0,47123,57.33,32.33,3.0,172.0,37147,218.31,174.15,13.0,2838.0
2000,27,041,27041,91.82,70.38,654,60050,05053,14.0,42.5,2.0,28.0,47123,40.45,27.0,11.0,445.0,48329,100.0,63.89,9.0,900.0,37183,151.57,90.74,13259.0,2009656.0,37147,38.29,30.32,31.0,1187.0,37147,66.86,46.32,486.0,32495.0,36059,198.63,110.86,369.0,73296.0,48329,165.0,2302.0,1.0,165.0
2000,46,011,46011,64.23,63.17,278,17855,47123,62.25,60.75,4.0,249.0,36059,147.56,76.26,1373.0,202603.0,39139,84.71,64.12,17.0,1440.0,37147,95.48,77.72,1760.0,168051.0,48497,55.32,41.65,60.0,3319.0,72085,71.0,39.0,1.0,71.0,28033,91.47,66.2,15.0,1372.0,48497,106.0,39.0,1.0,106.0
2000,02,NA ,02NA ,146.76,86.0,79,11594,36059,156.56,83.58,64.0,10020.0,01011,42.17,29.3,53.0,2235.0,13013,98.16,41.95,19.0,1865.0,48497,84.18,63.9,877.0,73824.0,47123,54.57,38.14,7.0,382.0,48497,69.5,64.99,159.0,11051.0,22061,39.4,58.6,5.0,197.0,39139,85.5,177.0,2.0,171.0
