year,state,county,fips,loan_average_orig,income_average_orig,count_orig,value_orig,native_loan_average_orig,native_income_average_orig,native_count_orig,native_value_orig,black_loan_average_orig,black_income_average_orig,black_count_orig,black_value_orig,asian_loan_average_orig,asian_income_average_orig,asian_count_orig,asian_value_orig,white_loan_average_orig,white_income_average_orig,white_count_orig,white_value_orig,hawaiian_loan_average_orig,hawaiian_income_average_orig,hawaiian_count_orig,hawaiian_value_orig,not_applicable_loan_average_orig,not_applicable_income_average_orig,not_applicable_count_orig,not_applicable_value_orig,not_provided_loan_average_orig,not_provided_income_average_orig,not_provided_count_orig,not_provided_value_orig,no_co_app_loan_average_orig,no_co_app_income_average_orig,no_co_app_count_orig,no_co_app_value_orig
2012,05,133,05133,86.3,77.91,132,11391,51.33,75.33,3.0,154.0,29.0,88.0,1.0,29.0,,,,,87.16,78.14,125.0,10895.0,,,,,,,,,104.33,67.67,3.0,313.0,,,,
2012,51,710,51710,188.17,105.5,2650,498651,140.44,76.67,9.0,1264.0,129.12,70.69,289.0,37316.0,161.79,92.72,98.0,15855.0,197.86,110.21,1923.0,380478.0,150.11,84.11,9.0,1351.0,,,,,193.75,113.85,322.0,62387.0,,,,
2012,53,009,53009,177.51,89.57,1474,261644,162.75,93.0,12.0,1953.0,214.25,65.0,4.0,857.0,211.42,117.26,19.0,4017.0,176.6,89.44,1302.0,229934.0,283.5,106.0,2.0,567.0,,,,,180.12,87.08,135.0,24316.0,,,,
2012,12,049,12049,110.63,71.53,73,8076,,,,,44.0,78.0,1.0,44.0,102.0,24.0,1.0,102.0,111.51,72.03,68.0,7583.0,165.0,44.0,1.0,165.0,,,,,91.0,89.0,2.0,182.0,,,,
2012,40,097,40097,115.82,95.31,363,42043,109.59,92.5,34.0,3726.0,,,,,,,,,116.12,95.87,311.0,36112.0,,,,,,,,,122.5,90.89,18.0,2205.0,,,,
2012,47,187,47187,286.72,148.25,9646,2765664,235.28,187.83,18.0,4235.0,310.49,168.88,162.0,50299.0,296.26,137.09,280.0,82953.0,281.13,143.82,8068.0,2268146.0,262.25,72.58,12.0,3147.0,90.0,179.0,1.0,90.0,322.89,180.55,1105.0,356794.0,,,,
2012,39,113,39113,123.94,94.17,10815,1340361,139.25,114.19,16.0,2228.0,100.79,74.92,441.0,44447.0,200.85,154.03,271.0,54429.0,121.68,91.25,8906.0,1083656.0,114.1,85.71,21.0,2396.0,95.71,356.43,7.0,670.0,132.29,108.29,1153.0,152535.0,,,,
2012,53,061,53061,233.38,106.95,24440,5703920,212.04,93.07,121.0,25657.0,231.85,90.68,260.0,60280.0,250.05,107.64,2537.0,634377.0,229.75,106.37,18491.0,4248365.0,259.15,101.49,148.0,38354.0,506.0,256.0,1.0,506.0,241.63,112.33,2882.0,696381.0,,,,
2012,22,095,22095,125.19,85.07,392,49073,96.33,95.0,3.0,289.0,121.62,74.8,101.0,12284.0,113.4,109.4,5.0,567.0,127.16,88.47,269.0,34207.0,,,,,,,,,123.29,83.14,14.0,1726.0,,,,
2012,17,167,17167,134.22,111.01,9268,1243981,117.6,82.1,10.0,1176.0,104.81,94.61,155.0,16246.0,188.48,155.68,148.0,27895.0,134.15,109.87,8578.0,1150738.0,207.88,296.75,8.0,1663.0,94.11,130.67,9.0,847.0,126.16,123.07,360.0,45416.0,,,,
2012,05,019,05019,105.22,86.31,245,25780,68.0,55.0,1.0,68.0,62.3,60.85,27.0,1682.0,507.0,187.5,2.0,1014.0,109.53,89.93,201.0,22016.0,203.0,64.0,1.0,203.0,,,,,61.31,71.77,13.0,797.0,,,,
2012,13,031,13031,138.33,111.34,846,117023,132.0,54.5,2.0,264.0,111.04,83.6,48.0,5330.0,125.08,224.83,12.0,1501.0,139.24,112.25,744.0,103592.0,63.0,26.0,1.0,63.0,,,,,160.85,98.26,39.0,6273.0,,,,
2012,40,129,40129,123.89,86.33,9,1115,43.0,72.0,1.0,43.0,,,,,,,,,165.0,101.83,6.0,990.0,,,,,,,,,41.0,47.0,2.0,82.0,,,,
2012,08,047,08047,208.92,93.05,263,54946,66.0,111.0,1.0,66.0,,,,,240.5,148.0,2.0,481.0,206.6,90.59,222.0,45865.0,,,,,,,,,224.58,104.03,38.0,8534.0,,,,
2012,22,123,22123,96.13,85.84,80,7690,,,,,62.0,34.5,2.0,124.0,,,,,94.96,87.8,76.0,7217.0,89.0,53.0,1.0,89.0,,,,,260.0,72.0,1.0,260.0,,,,
2012,42,121,42121,81.56,76.62,666,54321,33.0,37.0,1.0,33.0,,,,,49.0,18.0,2.0,98.0,80.83,74.18,635.0,51325.0,,,,,,,,,102.32,137.5,28.0,2865.0,,,,
2012,27,105,27105,115.17,80.56,156,17966,,,,,129.0,49.0,1.0,129.0,56.0,53.0,3.0,168.0,115.96,81.76,148.0,17162.0,,,,,,,,,126.75,64.5,4.0,507.0,,,,
2012,13,109,13109,84.74,67.92,99,8389,,,,,18.76,29.47,17.0,319.0,,,,,97.74,73.35,78.0,7624.0,,,,,,,,,111.5,125.5,4.0,446.0,,,,
2012,46,079,46079,154.21,120.72,350,53972,26.0,67.0,1.0,26.0,194.0,61.0,1.0,194.0,,,,,155.43,121.12,340.0,52845.0,,,,,,,,,113.38,117.88,8.0,907.0,,,,
2012,51,009,51009,134.98,79.8,431,58177,21.0,54.0,1.0,21.0,97.46,55.8,35.0,3411.0,123.33,46.67,3.0,370.0,139.45,82.15,371.0,51735.0,178.0,90.0,1.0,178.0,,,,,123.1,83.85,20.0,2462.0,,,,
2012,31,181,31181,93.14,101.21,14,1304,,,,,,,,,,,,,93.23,103.54,13.0,1212.0,,,,,,,,,92.0,71.0,1.0,92.0,,,,
2012,48,497,48497,158.01,113.96,831,131307,93.11,69.67,9.0,838.0,152.33,96.0,3.0,457.0,69.0,35.0,2.0,138.0,159.67,114.78,759.0,121192.0,55.0,34.0,1.0,55.0,,,,,151.35,115.14,57.0,8627.0,,,,
2012,23,001,23001,128.21,82.92,1824,233855,87.83,57.0,6.0,527.0,100.67,36.67,3.0,302.0,107.38,70.92,13.0,1396.0,127.66,81.45,1692.0,215994.0,110.0,59.0,1.0,110.0,64.0,187.0,1.0,64.0,143.17,109.39,108.0,15462.0,,,,
2012,48,495,48495,55.69,89.34,32,1782,,,,,,,,,,,,,53.56,92.74,27.0,1446.0,,,,,,,,,67.2,71.0,5.0,336.0,,,,
2012,49,041,49041,128.92,75.66,421,54277,,,,,332.0,195.0,1.0,332.0,90.0,31.0,1.0,90.0,127.04,75.08,398.0,50560.0,,,,,,,,,156.9,83.1,21.0,3295.0,,,,
2012,29,203,29203,97.98,51.69,48,4703,92.0,43.0,1.0,92.0,,,,,,,,,99.83,52.57,46.0,4592.0,,,,,,,,,19.0,20.0,1.0,19.0,,,,
2012,45,033,45033,99.42,78.77,185,18393,104.33,59.0,3.0,313.0,60.61,42.3,23.0,1394.0,,,,,103.44,82.5,142.0,14689.0,,,,,,,,,117.47,100.41,17.0,1997.0,,,,
2012,51,061,51061,268.89,135.66,2460,661472,246.4,123.6,5.0,1232.0,206.02,92.72,54.0,11125.0,273.67,112.79,24.0,6568.0,266.25,135.83,2027.0,539681.0,193.0,149.5,2.0,386.0,,,,,294.48,143.06,348.0,102480.0,,,,
2012,72,013,72013,102.75,53.17,281,28872,,,,,47.5,27.0,4.0,190.0,,,,,103.6,53.46,276.0,28593.0,,,,,,,,,89.0,78.0,1.0,89.0,,,,
2012,28,047,28047,147.81,122.5,2094,309507,62.5,32.25,4.0,250.0,115.36,85.33,132.0,15228.0,124.41,106.17,66.0,8211.0,150.61,126.28,1810.0,272611.0,163.0,98.0,2.0,326.0,,,,,161.01,116.89,80.0,12881.0,,,,
2012,01,017,01017,109.49,72.64,311,34050,,,,,83.67,49.11,27.0,2259.0,,,,,113.44,75.83,270.0,30629.0,,,,,,,,,83.0,56.5,14.0,1162.0,,,,
2012,01,007,01007,101.99,66.0,206,21009,,,,,89.38,70.31,13.0,1162.0,,,,,102.77,64.7,186.0,19116.0,,,,,,,,,104.43,92.71,7.0,731.0,,,,
2012,51,157,51157,276.65,160.05,237,65565,,,,,168.33,71.0,3.0,505.0,295.6,273.4,5.0,1478.0,274.68,165.52,191.0,52463.0,,,,,,,,,292.61,124.68,38.0,11119.0,,,,
2012,02,240,02240,160.67,106.28,46,7391,79.0,121.0,1.0,79.0,,,,,,,,,164.15,105.08,40.0,6566.0,,,,,,,,,149.2,113.0,5.0,746.0,,,,
2012,26,117,26117,102.07,80.4,1070,109213,132.8,116.0,5.0,664.0,72.0,55.0,1.0,72.0,248.0,78.0,3.0,744.0,100.69,80.09,977.0,98376.0,,,,,,,,,111.39,82.26,84.0,9357.0,,,,
